,Artist,Album,Release Date,Lyrics
The Predatory Wasp of the Palisades Is Out to Get Us!,Sufjan Stevens,Illinois ,"{'year': 2005, 'month': 7, 'day': 4}","I hide in my bed with the lights on the floor
Wearing three layers of coats and leg warmers
I see my own breath on the face of the door
Oh I am not quite sleeping
Oh I am fast in bed
There on the wall in the bedroom creeping
I see a wasp with her wings outstretched
North of Savanna we swim in the Palisades
I come out wearing my brother's red hat
There on his shoulder my best friend is bit seven times
He runs washing his face in his hands
Oh how I meant to tease him
Oh how I meant no harm
Touching his back with my hand I kiss him
I see the wasp on the length of my arm
Oh great sights upon this state! Hallelu-
Wonders bright, and rivers, lake. Hallelu-
We were in love. We were in love
Palisades! Palisades!
I can wait. I can wait
Trail of Tears and Horseshoe Lake. Hallelu-
We were in love. We were in love
Palisades! Palisades!
I can wait. I can wait
Trusting things beyond mistake. Hallelu-

We were in love. We were in love
Palisades! Palisades!
I can wait. I can wait
We were in love. We were in love
Palisades! Palisades!
I can wait. I can wait
Lamb of God, we sound the horn. Hallelu-
We were in love. We were in love
Palisades! Palisades!
I can wait. I can wait
Unto us your ghost is born. Hallelu-
I can't explain the state that I'm in
The state of my heart, he was my best friend
Into the car, from the back seat
Oh, admiration in falling asleep
All of my powers, day after day
I can tell you, we swaggered and swayed
Deep in the tower, the prairies below
I can tell you— the telling gets old
Terrible sting and terrible storm
I can tell you the day we were born
Oh great sights upon this state! Hallelu-
My friend is gone, he ran away
I can tell you, I love him each day
Wonders bright, and rivers, lake. Hallelu-
Though we have sparred, wrestled and raged
I can tell you I love him each day
Trail of Tears and Horseshoe Lake. Hallelu-
Terrible sting, terrible storm
I can tell you...
We were in love. We were in love
Palisades! Palisades!
I can wait. I can wait
Trusting things beyond mistake. Hallelu-"
John Wayne Gacy Jr.,Sufjan Stevens,Illinois ,"{'year': 2005, 'month': 7, 'day': 4}","His father was a drinker
And his mother cried in bed
Folding John Wayne's tshirts
When the swingset hit his head
The neighbors they adored him
For his humor and his conversation
Look underneath the house there
Find the few living things, rotting fast, in their sleep
Oh, the dead
Twentyseven people
Even more, they were boys
With their cars, summer jobs
Oh my God
Are you one of them?

He dressed up like a clown for them
With his face paint white and red
And on his best behavior
In a dark room on the bed
He kissed them all
He'd kill ten thousand people
With a sleight of his hand
Running far, running fast to the dead
He took off all their clothes for them
He put a cloth on their lips
Quiet hands, quiet kiss on the mouth

And in my best behavior
I am really just like him
Look beneath the floor boards
For the secrets I have hid"
Chicago,Sufjan Stevens,Illinois ,"{'year': 2005, 'month': 7, 'day': 4}","I fell in love again
All things go, all things go
Drove to Chicago
All things know, all things know
We sold our clothes to the state
I don't mind, I don't mind
I made a lot of mistakes
In my mind, in my mind

You came to take us
All things go, all things go
To recreate us
All things grow, all things grow
We had our mind set
All things know, all things know
You had to find it
All things go, all things go

I drove to New York
In a van, with my friend
We slept in parking lots
I don't mind, I don't mind
I was in love with the place
In my mind, in my mind
I made a lot of mistakes
In my mind, in my mind

You came to take us
All things go, all things go
To recreate us
All things grow, all things grow
We had our mind set
All things know, all things know
You had to find it
All things go, all things go

If I was crying
In the van, with my friend
It was for freedom
From myself and from the land
I made a lot of mistakes
I made a lot of mistakes
I made a lot of mistakes
I made a lot of mistakes

You came to take us
All things go, all things go
To recreate us
All things grow, all things grow
We had our mind set
All things know, all things know
You had to find it
All things go, all things go
You came to take us
All things go, all things go
To recreate us
All things grow, all things grow
We had our mind set I made a lot of mistakes)
All things know, all things know I made a lot of mistakes)
You had to find it I made a lot of mistakes)
All things go, all things go I made a lot of mistakes)"
Eugene,Sufjan Stevens,Carrie & Lowell,"{'year': 2015, 'month': 3, 'day': 31}","What if Id never seen hysterical light from Eugene?
Lemon yogurt
Remember I pulled at your shirt
I dropped the ashtray on the floor
I just wanted to be near you
Emerald Park, wonders never cease
The man who taught me to swim
He couldn't quite say my first name
Like a Father, he led community water on my head
And he called me Subaru”
And now, I want to be near you
Since I was old enough to speak
I've said it with alarm
Some part of me was lost in your sleeve
Where you hid your cigarettes
No, Ill never forget
I just want to be near you
Still, I pray to what I cannot see
In the sprinkler, I mark
The evidence known from the start
From the bed near your death
And all the machines that made a mess
Far away, the falcon flew
Now I want to be near you
Whats left is only bittersweet
For the rest of my life
Admitting the best is behind me
Now Im drunk and afraid
Wishing the world would go away
Whats the point of singing songs
If theyll never even hear you?"
Futile Devices,Sufjan Stevens,The Age of Adz,"{'year': 2010, 'month': 10, 'day': 12}","It's been a long, long time since I've memorized your face
It's been four hours now since I've wandered through your place
And when I sleep on your couch, I feel very safe
And when you bring the blankets, I cover up my face

I do love you
I do, oohooh, love you

And when you play guitar, I listen to the strings buzz
The metal vibrates underneath your fingers
And when you crochet, I feel mesmerized and proud
And I would say I love you, but saying it out loud is hard
So I won't say it at all
And I won't stay very long

But you are the life I needed all along
I think of you as my brother
Although that sounds dumb
And words are futile devices"
Drawn to the Blood,Sufjan Stevens,Carrie & Lowell,"{'year': 2015, 'month': 3, 'day': 31}","Im drawn to the blood
The flight of a onewinged dove
How? How did this happen?
How? How did this happen?
The strength of his arm
My lover caught me off guard
How? Head of a rabbit
How? Head of a rabbit

For my prayer has always been love
What did I do to deserve this?

With blood on my sleeve
Delilah, avenge my grief
How? God of Elijah
How? God of Elijah
As fire to the sun
Tell me what I have done
How? Heart of a dragon?
How? Heart of a dragon?

For my prayer has always been love
What did I do to deserve this now?
How did this happen?"
Carrie & Lowell,Sufjan Stevens,Carrie & Lowell,"{'year': 2015, 'month': 3, 'day': 31}","Carrie and Lowell
Such a long time ago
Like a dead horse
Meadowlark, drive your arrow
Season of hope after the flood)
Valentine, spurn my sorrow
Head on the floorboards covered in blood)
Drunk as a horsefly
Climb on the mattress pad
Twist my arm
Under the pear tree
Shadows and light conspiring
Covered bridge, I scream
Cottage Grove shade, invite me
I will bow down Dido's Lament)
Lord of the ancient waters
From the backyard as far as she went)
Carrie surprised me
Erebus on my back
My lucky charm
Carried by stones
Fairyland all around us
Like a dead horse
Sign of your childrens fever
Carrie, come home Thorazines friend)
Holding your hands with opal
Like a dead horse Shall we ascend?)
Flight of the mayfly
Ephemera on my back
She breaks my arm"
Come On! Feel the Illinoise! (Part I: The World’s Columbian Exposition – Part II: Carl Sandburg Visits Me in a Dream),Sufjan Stevens,Illinois ,"{'year': 2005, 'month': 7, 'day': 4}","
Oh, great intentions
I've got the best of interventions
But when the ads come
I think about it now

In my infliction
Entrepreneurial conditions
Take us to glory
I think about it now

Cannot conversations cull united nations?
If you got the patience, celebrate the ancients
Cannot all creation call it celebration?
Or united nation, put it to your head

Oh, great white city
I've got the adequate committee
Where have your walls gone?
I think about it now

Chicago, in fashion
The soft drinks, expansion
Oh, Columbia!
From Paris, incentive
Like Cream of Wheat invented
The Ferris Wheel!

Oh, great intentions
Covenant with the imitation
Have you no conscience?
I think about it now

Oh, God of Progress
Have you degraded or forgot us?
Where have your laws gone?
I think about it now

Ancient hieroglyphic or the South Pacific
Typically terrific, busy and prolific
Classical devotion, architect promotion
Lacking in emotion, think about it now
Chicago, the New Age
But what would Frank Lloyd Wright say?
Oh, Columbia!
Amusement or treasure
These optimistic pleasures
Like the Ferris Wheel!

Cannot conversations cull united nations?
If you got the patience, celebrate the ancients
Columbia!


I cried myself to sleep last night
And the ghost of Carl, he approached my window
I was hypnotized, I was asked to improvise
On the attitude, the regret
Of a thousand centuries of death

Even with the heart of terror and the superstitious wearer
I am riding all alone
I am writing all alone
Even in my best condition
Counting all the superstition
I am riding all alone
I am running all alone
And we laughed at the beatitudes of a thousand lines
We were asked at the attitudes
They reminded us of death

Even with the rest belated, Everything is antiquated
Are you writing from the heart?
Are you writing from the heart?
Even in his heart, the Devil has to know the water level
Are you writing from the heart?
Are you writing from the heart?

And I cried myself to sleep last night
For the Earth, and materials
They may sound just right to me

Even with the rest belated, everything is antiquated
Are you writing from the heart?
Are you writing from the heart?

Even in his heart, the Devil has to know the water level
Are you writing from the heart?
Are you writing from the heart?"
Blue Bucket of Gold,Sufjan Stevens,Carrie & Lowell,"{'year': 2015, 'month': 3, 'day': 31}","One, two, three

My blue bucket of gold
Friend, why don't you love me?
Once the myth has been told
The lens deforms it as lightning

Raise your right hand
Tell me you want me in your life
Or raise your red flag
Just when I want you in my life
Ooh, ooh)

Search for things to extol
Friend, the fables delight me
My blue bucket of gold
Lord, touch me with lightning

Raise your right hand
Tell me you want me in your life
Or raise your red flag
Just when I want you in my life
Ooh, ooh)
Ooh, ooh)"
To Be Alone with You,Sufjan Stevens,Seven Swans,"{'year': 2004, 'month': 3, 'day': 16}","I'd swim across Lake Michigan
I'd sell my shoes
I'd give my body to be back again
In the rest of the room

To be alone with you
To be alone with you
To be alone with you
To be alone with you

You gave your body to the lonely
They took your clothes
You gave up a wife and a family
You gave your ghost

To be alone with me
To be alone with me
To be alone with me
You went up on a tree

To be alone with me
You went up on a tree

I've never known a man who loved me"
