,Artist,Album,Release Date,Lyrics
How to Rent a Room,Silver Jews,The Natural Bridge,"{'year': 1996, 'month': 10, 'day': 1}","I only want to die in your eyes
I'm still here below the chandelier
Where they always used to read us our rights
I want to wander through the night
As a figure in the distance even to my own eye
Have you ever rented a room?
Have you even ever rented a room?
Anchor lets you see the river move
But now that your evil dreams came true
There on your face
A row of teeth he'll come to replace
I know you laughed when I left
But you really only hurt yourself
When you see your curtains move in the wind
You can bet I'm betting against you again
'Cause I'm a man who has a wife who has a mother
Who married one but she loved another
You're a tower without the bells
You're a negative wishing well
I should've checked the stable door
For the name of the sire and dam
You were always at the dog track
With your brother and all his friends
Chalk lines around my body
Like the shoreline of a lake
Your laughter made me nervous
It made your body shake too hard
Now, there's a lot of things that I'm gonna miss
Like thunder down country and the way water drips
When you're running for the door in the rain
Read the metro section
Read the metro section
Read the metro section
See my name
No, I didn't really want to die
I only want to die in your eyes
Grant me one last wish
Life should mean a lot less than this
Grant me one last wish
Life should mean a lot less than this"
Blue Arrangements,Silver Jews,American Water,"{'year': 1998, 'month': 10, 'day': 20}","In the Greenwood southside society pool
I love your amethyst eyes and your Protestant thighs
You're a shimmering socialite jewel
From the Carbon Dioxide Riding Academy
To the children's crusade marching through the downtown
Well, I think I'd die, see, if you just said hi to me
When something breaks, it makes a beautiful sound
Sometimes I feel like I'm watching the world
And the world isn't watching me back
But when I see you, I'm in it too
The waves come in and the waves go back
And the kids in the corner all covered in dirt
Caught trespassing under the moon
My father came in from wherever he'd been
And kicked my shit all over the room
All over the room
All over the room
The room is dark and heavy with what I want to say
I see murals in the radio static and on your blue blue jeans
What would you say if I asked you to run away?
It's been done so many times, I hardly know what it means
I took these blue arrangements and threw them in the sea
When older waves from older caves brought them back to me
I took these blue arrangements and stored them on a shelf
With coins on the mantle and time in a candle, in the end a boy raises himself"
The Frontier Index,Silver Jews,The Natural Bridge,"{'year': 1996, 'month': 10, 'day': 1}","I always looked up to you
And after millions of years of crime
The sun still shines and shines
Look, a horse, of course
Gallops through the desert light
I make such good time through subspace
When I dream all day and write all night
Robot walks into a bar
Orders a drink, lays down a bill
Bartender says, Hey, we don't serve robots""
And the robot says, Oh, but someday you will""
Prison's a good time for some
Many people get caught with a gun
This trucker says it's good to be free
Says he knows lots of folks who agree
Bumper stickers talk to him
Say, Let the stars get in your eyes""
Time, cum, sand, and surf
These are the building, building blocks of life
Boy wants a car from his dad
Dad says, First, you got to cut that hair""
Boy says, Hey, Dad, Jesus had long hair""
And Dad says, That's right, son, Jesus walked everywhere""
When I was younger, I was a cobra
In every case, I wanted to be cool
Now that I'm older and subspace is colder
Just wanna say something true"
Candy Jail,Silver Jews,"Lookout Mountain, Lookout Sea","{'year': 2008, 'month': 6, 'day': 17}","So does pleasure in a candy jail
True love doesn't come around anymore than fate allows
On a Monday in Fort Lauderdale
I came all this way to see your grave
To see your life as writ in paraphrase
I have tried thee,"" it is written, in the furnace of affliction""
This is what you couldn't face
Life in a candy jail
With peppermint bars
Peanutbrittle bunk beds
And marshmallow walls
Where the guards are gracious
And the grounds are grand
And the warden keeps the data on your favorite brands
Jelly beans and cookie dough
Country restroom on the radio
I got a number on my name
It's hard to rise above the shame
I'm a branded man made in the mold
These terms engulf the waking mind
Like cherry, grape and lemonlime
Like candy corn and licorice
Like bubblegum and Swedish fish
It happens to me all the time
Living in a candy jail
With peppermint bars
Peanutbrittle bunk beds
And marshmallow walls
Where the guards are gracious
And the grounds are grand
And the warden really listens
And he understands"
Buckingham Rabbit,Silver Jews,American Water,"{'year': 1998, 'month': 10, 'day': 20}","I'd been lonely since she found Christ
Now is the time to depend on the law
The nights of my professional life
It's the nights of my professional life
I was living in a very young city
Grand piano, great lakes, goodbye
If you ask me my name, it's highlowjack in the game
I can track a single bee to the hive
Every single game was a blowout
And the NASCAR blurred into porn
Scenic this, scenic that, don't fall for the traps
Of a man who was never born
A man who was never born
So the rent became whiskey
And then my life became risky
And so the rent became whiskey, whiskey
Shattered dogs on the rocks
At the back of the bar, there's a couch
Where the lonely people go and lie
They talk to the honky tonk psychiatrist
Into the wee hours of the night
Into the wee hours of the night
The factory's on muscle relaxers
The pine perfume of hilltown floors
The lover, the thinker, the talker, the singer
Won't be lucid for her anymore
They won't be lucid for her anymore
And so the rent became whiskey
And then my life became risky
And so the rent became whiskey, whiskey
Shattered dogs on the rocks, shattered dogs on the rocks
When you know how I feel, I feel better
When you're fifteen, you wanna look poor
You do unto others and run like a mother
I don't wanna look poor anymore
No, I don't wanna look poor anymore
Jesus in a runaway shelter
Said, The deaf have pictures of you""
From the digital fountains to the analog mountains
Let the mirror express the room
Let the mirror express the room"
Like Like the the the Death,Silver Jews,American Water,"{'year': 1998, 'month': 10, 'day': 20}","Air crickets, air crickets, air crickets, air crickets, air
Mother and child with magazine
Into a story, into a dream
Why is there something instead of nothing?
And how is the asking built into the hunting?
Do you believe in MGM endings?
Everybody's coming back to Christmas for Texas
Folks who've watched their mother kill an animal know that their home is surrounded by places to go
And the west has made a deal with the sun
My life at home every day
Drinking coke in a kitchen with a dog who doesn't know his name
Oh, right, it could have been anyone
Grass rabbits, grass rabbits, grass rabbits, grass rabbits, grass
Nobody cares about a dead hooker
Looking like one, standing for many
Life finds a limit at the edge of our bodies
A stranger begins wherever I see 'em
Let's live where the indoors and the outdoors meet
All the kids in the commonwealth are free
Every morning you forgive me, every evening you relive me and the thing itself is what you give me
And the morning has cut a deal with the east
Like, like the, the, the death
Air crickets, air crickets, air crickets, air crickets, air"
Black and Brown Blues,Silver Jews,The Natural Bridge,"{'year': 1996, 'month': 10, 'day': 1}","I got two pairs of shoes
Darling, you look so beautiful
When your hair's all hung in jewels
And sometimes I find it really hard to choose
Between a pair of black and a pair of brown shoes
When I'm high on bat wings
Up by the silvery moon
I think of a certain sad king
Trapped in his golden room
And I dream of a cold river on the way
To come and sweep that king into this black and brown bay
Well, the water looks like jewelry
When it's coming out the spout
Nothing could make me feel better
Than a wet kiss on the mouth
Fake ID.'s and honey bees
The jagged skyline of car keys
I never knew a bird could fly so low
Rub out the catlight
Rub out the village
Red and white exit light
That's exodus damage
Why don't people think of who they use?
Why don't you try and come and get me
Black and brown blues
It's raining triple sec in Tchula
And the radio plays Crazy Train""
There's a quadroon ball in the beehive
Hanging out in the rain
And when there's trouble, I don't like running
But I'm afraid I got more in common
With who I was than who I am becoming
When I go downtown
I always wear a corduroy suit
Because it's made of a hundred gutters
That the rain can run right through
But a lonely man can't make a move
If he can't even bring himself to choose
Between a pair of black and a pair of brown shoes"
How Can I Love You (If You Won’t Lie Down),Silver Jews,Tanglewood Numbers,"{'year': 2005, 'month': 10, 'day': 18}","These things will pass
And it won't get more profound
Time is a game
Only children play well
How can I love you
If you won't lie down?
My youth for a bell
Who's who in hell
My kingdom for a crown
Time is a game
Only children play well
How can I love you
If you won't lie down?"
Pet Politics,Silver Jews,The Natural Bridge,"{'year': 1996, 'month': 10, 'day': 1}","While the rain turns the ditches to mirrors
Buy a vase of carnations from central Ohio
Where the looking machine can't hear us
Deep in the night, we dream of positions
There's a line for the phone in the hall
And in the cold places where Spanish is spoken
Most wars end in the fall
You never know
When your pet will go
Pet politics
Pet politics
Pet politics
Pet politics
Still wearin' last night's mascara
Now that her pet was gone for sure
She was shiverin' so hard
It looked like there were two of her
I could see through the sleeve on her blouse
The plans of her architect lover
A tattoo of a boardedup house
And ink door that belonged to another
When the rain hits you
It hits you slow
Stitch after stitch
Stitch after stitch
Stitch after stitch
Stitch after stitch
Adam was not the first man
Though the Bible tells us so
There was one created before him
Whose name we do not know
He also lived in the garden
But he had no mouth or eyes
One day, Adam came to kill him
And he died beneath these skies
I find it so amazing how
I go where I'm led
I go where I'm led
I go where I'm led
I go where I'm led
I suspect we could be losing now
Please guard my bed
Please guard my bed
Please guard my bed
Please guard my bed"
Suffering Jukebox,Silver Jews,"Lookout Mountain, Lookout Sea","{'year': 2008, 'month': 6, 'day': 17}","Cranes on the downtown skyline
Is a sight to see for some
It ought to make a few reputations
In the cult of number one
While these seconds turn these minutes
Into hours of the day
While these doubles drive the dollars
And the light of day away

Suffering jukebox
Such a sad machine
You're all filled up with what other people mean
And they never seem to turn you up loud
Got a lot of chatterboxes in this crowd
Suffering jukebox
In a happy town
You're over in the corner breakin' down
They always seem to keep you way down low
The people in this town don't want to know

Well, I guess all that mad misery
Must make it seem true to you
But money lights your world up
You're trapped, what can you do?
You got Tennessee tendencies
And chemical dependencies
You make the same old jokes
And malaprops on cue

Suffering jukebox
Such a sad machine
You're all filled up with what other people mean
Hardship, damnation and guilt
Make you wonder why you were even built
Suffering jukebox
In a happy town
You're over in the corner breaking down
They always seem to keep you way down low
The people in this town don't want to know"
