,Artist,Album,Release Date,Lyrics
Slow Show,The National,Boxer ,"{'year': 2007, 'month': 5, 'day': 22}","Standing at the punch table, swallowing punch
Can't pay attention to the sound of anyone
A little more stupid, a little more scared
Every minute, more unprepared
I made a mistake in my life today
Everything I love gets lost in the drawers
I want to start over, I want to be winning
Way out of sync from the beginning

I wanna hurry home to you
Put on a slow, dumb show for you
And crack you up
So you can put a blue ribbon on my brain
God, I'm very, very frightened
I'll overdo it

Looking for somewhere to stand and stay
I leaned on the wall and the wall leaned away
Can I get a minute of not being nervous
And not thinking of my dick?
My leg is sparkles, my leg is pins
I better get my shit together, better gather my shit in
You could drive a car through my head in five minutes
From one side of it to the other

I wanna hurry home to you
Put on a slow, dumb show for you
And crack you up
So you can put a blue ribbon on my brain
God, I'm very, very frightened
I'll overdo it

You know I dreamed about you
For twentynine years before I saw you
You know I dreamed about you
I missed you for, for twentynine years
You know I dreamed about you
For twentynine years before I saw you
You know I dreamed about you
I missed you for, for twentynine years"
Bloodbuzz Ohio,The National,High Violet,"{'year': 2010, 'month': 5, 'day': 3}","Stand up straight at the foot of your love, I
Lift my shirt up
Stand up straight at the foot of your love, I
I lift my shirt up

I was carried to Ohio in a swarm of bees
I never married but Ohio don't remember me

Lay my head on the hood of your car, I
I take it too far
Lay my head on the hood of your car, I
Take it too far

I still owe money to the money to the money I owe
I never thought about love when I thought about home
I still owe money to the money to the money I owe
The floors are fallin' down from everybody I know

I'm on a blood buzz, yes I am
I'm on a blood buzz
I'm on a blood buzz, God I am
I'm on a blood buzz

I was carried to Ohio in a swarm of bees
I never married but Ohio don't remember me

I still owe money to the money to the money I owe
I never thought about love when I thought about home
I still owe money to the money to the money I owe
The floors are fallin' down from everybody I know

I'm on a blood buzz, yes I am
I'm on a blood buzz
I'm on a blood buzz, God I am
I'm on a blood buzz"
Nobody Else Will Be There,The National,Sleep Well Beast,"{'year': 2017, 'month': 9, 'day': 8}","You said we're not so tied together
What did you mean?
Meet me in the stairwell in a second
For a glass of gin

Nobody else will be there then
Nobody else will be there
Nobody else will be there then
Nobody else will be there

Can you remind me the building you live in?
I'm on my way
It's getting cold again but New York's gorgeous
It's a subway day

Nobody else will be there then
Nobody else will be there
Nobody else will be there then
Nobody else will be there

Why are we still out here holdin' our coats?
We look like children
Goodbyes always take us half an hour
Can't we just go home?

Hey, baby, where were you back there
When I needed your help?
I thought that if I stuck my neck out
I'd get you out of your shell

My faith is sick and my skin is thin as ever
I need you alone
Goodbyes always take us half an hour
Can't we just go home?

Nobody else will be there then
Nobody else will be there
Nobody else will be there then
Nobody else will be there"
Sorrow,The National,High Violet,"{'year': 2010, 'month': 5, 'day': 10}","Sorrow found me when I was young
Sorrow waited, sorrow won
Sorrow, they put me on the pill
It's in my honey, it's in my milk

Don't leave my hyper heart alone on the water
Cover me in rag and bone sympathy
'Cause I don't wanna get over you
I don't wanna get over you

Sorrow's my body on the waves
Sorrow's a girl inside my cake
I live in a city sorrow built
It's in my honey, it's in my milk

Don't leave my hyper heart alone on the water
Cover me in rag and bone sympathy
'Cause I don't wanna get over you
I don't wanna get over you


Don't leave my hyper heart alone on the water
Cover me in rag and bone sympathy
'Cause I don't wanna get over you
I don't wanna get over you"
About Today,The National,Cherry Tree,"{'year': 2004, 'month': 7, 'day': 20}","Today
You were far away
And I
Didn't ask you Why?""
What could I say?
I was far away
You just walked away
And I just watched you
What could I say?

How close am I
To losing you?

Tonight
You just close your eyes
And I just watch you
Slip away

How close am I
To losing you?

Hey
Are you awake?
Yeah, I'm right here
Well, can I ask you
About today?

How close am I
To losing you?
How close am I
To losing?"
Carin at the Liquor Store,The National,Sleep Well Beast,"{'year': 2017, 'month': 8, 'day': 8}","I was a worm, I was a creature
I get on the ground the second I'd see you
You cannot command your love
I wasn't a catch, I wasn't a keeper
I was walkin' around like I was the one who found dead John Cheever
Hand in glove

So blame it on me, I really don't care
It's a foregone conclusion

I see you in stations and on invitations
You'd fall into rivers with friends on the weekends
Innocent skies above
Carin at the liquor store, I can't wait to see you
I'm walkin' around like I was the one who found dead John Cheever
In the house of love

So blame it on me, I really don't care
It's a foregone conclusion
It wasn't so bad, I wasn't that sick, got taken by love, I wasn't that quick
A foregone conclusion
It's gonna be different after tonight, you're gonna see me in a different light
It's a foregone conclusion


So blame it on me, I really don't care
It's a foregone conclusion
I'm already seein' stars in the air
It's a foregone conclusion"
Day I Die,The National,Sleep Well Beast,"{'year': 2017, 'month': 8, 'day': 29}","I don't need you, I don't need you
Besides I barely ever see you anymore
And when I do it feels like you're only halfway there
Young mothers love me, even ghosts of
Girlfriends call from Cleveland, they will
Meet me anytime and anywhere

The day I die, the day I die
Where will we be?
The day I die, the day I die
Where will we be?

Don't do this, I don't do this to you
And don't expect me to enjoy it
'Cause I really don't have the courage not to turn the volume up inside my
Ears, for years I used to put my
Head inside the speakers
In the hallway when you get too high and talk forever

The day I die, the day I die
Where will we be?
The day I die, the day I die
Where will we be?
The day I die, the day I die
Where will we be?
The day I die, the day I die
Where will we be?


I get a little punchy with the vodka
Just like my great uncle Valentine Jester did
When he had to deal with those people like you
Who made no goddamn common sense
I'd rather walk all the way home right now
Than to spend one more second in this place
I'm exactly like you, Valentine, just
Come outside and leave with me

Let's just get high enough to see our problems
Let's just get high enough to see our fathers' houses

The day I die, the day I die
Where will we be?
The day I die, the day I die
Where will we be?
The day I die, the day I die
Where will we be?
The day I die, the day I die
Where will we be?"
Terrible Love,The National,High Violet,"{'year': 2010, 'month': 11, 'day': 22}","It's a terrible love and I'm walkin' with spiders
It's a terrible love and I'm walkin' in
It's a terrible love and I'm walkin' with spiders
It's a terrible love and I'm walkin' in

This quiet company
This quiet company

It's a terrible love and I'm walkin' with spiders
It's a terrible love and I'm walkin' in
It's a terrible love and I'm walkin' with spiders
It's a terrible love and I'm walkin' in

This quiet company
This quiet company
This quiet company

And I can't fall asleep
Without a little help
It takes a while to settle down
My shivered bones
Until the panic's out

It takes an ocean not to break
It takes an ocean not to break
It takes an ocean not to break
It takes an ocean not to break

Company
This quiet company
This quiet company

But I won't follow you
Into the rabbit hole
I said I would but then I saw
Your shivered bones
They didn't want me to

It's a terrible love and I'm walkin' with spiders
It's a terrible love and I'm walkin' in
It's a terrible love and I'm walkin' with spiders
It's a terrible love and I'm walkin' in

It takes an ocean not to break
It takes an ocean not to break
It takes an ocean not to break
"
Light Years,The National,I Am Easy to Find,"{'year': 2019, 'month': 4, 'day': 4}","You were waiting outside for me in the sun
Laying down to soak it all in before we had to run
I was always ten feet behind you from the start
Didn't know you were gone 'til we were in the car

Oh, the glory of it all was lost on me
'Til I saw how hard it'd be to reach you
And I would always be lightyears, lightyears away from you
Lightyears, lightyears away from you

I thought I saw your mother last weekend in the park
It could've been anybody, it was after dark
Everyone was lighting up in the shadows alone
You could've been right there next to me, and I'd have never known

Oh, the glory of it all was lost on me
'Til I saw how hard it'd be to reach you
And I would always be lightyears, lightyears away from you
Lightyears, lightyears away from you
Lightyears, lightyears away from you
Lightyears, lightyears away from you"
Sea of Love,The National,Trouble Will Find Me,"{'year': 2013, 'month': 5, 'day': 17}","Oh, you say you love me, Joe
How am I supposed to know?
When you go under the waves
What am I supposed to say?

I see people on the floor
They slide into the sea
Can't stay here anymore
We're turning into fiends

If I stay here, trouble will find me
If I stay here, I'll never leave
If I stay here, trouble will find me
I believe

Joe, I'll always think of you
As the kind of child who knew
This was never gonna last
Oh, Joe, you fell so fast

Hey Joe, sorry I hurt you, but
They say love is a virtue, don't they?
Hey Joe, sorry I hurt you, but
They say love is a virtue, don't they?
Hey Joe, sorry I hurt you, but
They say love is a virtue, don't they?
Hey Joe, sorry I hurt you, but
They say love is a virtue, don't they?

I see people on the floor
They slide into the sea
Can't stay here anymore
We're turning into fiends

I see you rushing down
Tell me how to reach you
I see you rushing now
What did Harvard teach you?
I see you rushing down
Tell me how to reach you
I see you rushing down
What did Harvard teach you?
I see you rushing down Dont drag me in)
Tell me how to reach you
I see you rushing down Dont drag me in)
What did Harvard teach you?
I see you rushing down Dont drag me in)
Tell me how to reach you
I see you rushing down Dont drag me in)
What did Harvard teach you?"
