,Artist,Album,Release Date,Lyrics
Cemetry Gates,The Smiths,The Queen is Dead,"{'year': 1986, 'month': 6, 'day': 16}","A dreaded sunny day
So I meet you at the cemetery gates
Keats and Yeats are on your side
A dreaded sunny day
So I meet you at the cemetery gates
Keats and Yeats are on your side
While Wilde is on mine

So we go inside and we gravely read the stones
All those people, all those lives
Where are they now?
Witha loves and hates and passions just like mine
They were born, and then they lived
And then they died
Seems so unfair, I want to cry

You say, ""'Ere thrice the sun done salutation to the dawn""
And you claim these words as your own
But I've read well and I've heard them said
A hundred times, maybe less, maybe more

If you must write prose and poems
The words you use should be your own
Don't plagiarise or take on loan
'Cause there's always someone, somewhere
With a big nose, who knows
And who trips you up and laughs when you fall
Who'll trip you up and laugh when you fall

You say, ""'Ere long done do does did""
Words which could only be your own
And then produce the text from whence was ripped
Some dizzy whore, 

A dreaded sunny day, so let's go where we're happy
And I meet you at the cemetery gates
Oh, Keats and Yeats are on your side
A dreaded sunny day, so let's go where we're wanted
And I meet you at the cemetery gates
Keats and Yeats are on your side, but you lose
'Cause whale blubber Wilde is on mmine Sugar)"
Some Girls Are Bigger Than Others,The Smiths,The Queen is Dead,"{'year': 1986, 'month': 6, 'day': 16}","From the ice age to the dole age
There is but one concern
I have just discovered

Some girls are bigger than others
Some girls are bigger than others
Some girls' mothers are bigger than other girls' mothers
Some girls are bigger than others
Some girls are bigger than others
Some girls' mothers are bigger than other girls' mothers

As Anthony said to Cleopatra
As he opened a crate of ale
Oh, I say

Some girls are bigger than others
Some girls are bigger than others
Some girls' mothers are bigger than other girls' mothers
Some girls are bigger than others
Some girls are bigger than others
Some girls' mothers are bigger than other girls' mothers

Send me the pillow Pillow)
The one that you dream on
Send me the pillow Pillow)
The one that you dream on
And I'll send you mine"
Panic,The Smiths,The World Won’t Listen,"{'year': 1986, 'month': 7, 'day': 21}","Panic on the streets of London
Panic on the streets of Birmingham
I wonder to myself
Could life ever be sane again?
The Leeds sidestreets that you slip down
I wonder to myself

Hopes may rise on the Grasmere
But, honey pie, you're not safe here
So you run down to the safety of the town
But there's panic on the streets of Carlisle
Dublin, Dundee, Humberside
I wonder to myself

Burn down the disco
Hang the blessed DJ
Because the music that they constantly play
It says nothing to me about my life
Hang the blessed DJ
Because the music they constantly play

On the Leeds sidestreets that you slip down
Provincial towns you jog 'round
Hang the DJ, hang the DJ, hang the DJ
Hang the DJ, hang the DJ, hang the DJ
Hang the DJ, hang the DJ, hang the DJ
Hang the DJ, hang the DJ
Hang the DJ, hang the DJ
Hang the DJ, hang the DJ, hang the DJ
Hang the DJ, hang the DJ
Hang the DJ, hang the DJ
Hang the DJ, hang the DJ, hang the DJ
Hang the DJ, hang the DJ
Hang the DJ, hang the DJ
Hang the DJ, hang the DJ, hang the DJ
Hang the DJ, hang the DJ"
"Frankly, Mr. Shankly",The Smiths,The Queen is Dead,"{'year': 1986, 'month': 6, 'day': 16}","Frankly, Mr. Shankly, this position I've held
It pays my way, and it corrodes my soul
I want to leave, you will not miss me
I want to go down in musical history
Frankly, Mr. Shankly, I'm a sickening wreck
I've got the twentyfirst century breathing down my neck
I must move fast, you understand me
I want to go down in celluloid history, Mr. Shankly


Fame, fame, fatal fame
It can play hideous tricks on the brain
But still I'd rather be famous than righteous or holy
Any day, any day, any day
But sometimes I'd feel more fulfilled
Making Christmas cards with the mentally ill
I want to live and I want to love
I want to catch something that I might be ashamed of

Frankly, Mr. Shankly, this position I've held
It pays my way, and it corrodes my soul
Oh, I didn't realise that you wrote poetry
I didn't realise you wrote such bloody awful poetry, Mr. Shankly
Frankly, Mr. Shankly, since you ask
You are a flatulent pain in the arse
I do not mean to be so rude
Still, I must speak frankly, Mr. Shankly
Oh, give us your money!"
Reel Around the Fountain,The Smiths,The Smiths,"{'year': 1984, 'month': 2, 'day': 20}","It's time the tale were told
Of how you took a child
And you made him old
It's time the tale were told
Of how you took a child
And you made him old
You made him old

Reel around the fountain
Slap me on the patio
I'll take it now
Oh, woahwoahwoahwoahwoahwoah

Fifteen minutes with you
Well, I wouldn't say no
Oh, people said that you were virtually dead
And they were so wrong
Fifteen minutes with you
Oh, well, I wouldn't say no
Oh, people said that you were easily led
And they were halfright
Oh, they
Oh, they were halfright, oh

It's time the tale were told
Of how you took a child
And you made him old
It's time that the tale were told
Of how you took a child
And you made him old
You made him old

Oh, reel around the fountain
Slap me on the patio
I'll take it now
Ah, woahwoahwoahwoahwoahwoah

Fifteen minutes with you
Oh, I wouldn't say no
Oh, people see no worth in you
Oh, but I do
Fifteen minutes with you
Oh, I wouldn't say no
Oh, people see no worth in you
I do, oh, I
Oh, I do, oh
I dreamt about you last night
And I fell out of bed twice
You can pin and mount me like a butterfly
But, Take me to the haven of your bed""
Was something that you never said
Two lumps, please, you're the bee's knees
But so am I

Oh, meet me at the fountain
Shove me on the patio
I'll take it slowly
Oh, woahwoahwoahwoahwoah

Fifteen minutes with you
Oh, I wouldn't say no
Oh, people see no worth in you
Oh, but I do
Fifteen minutes with you
Oh, no, I wouldn't say no
Oh, people see no worth in you
I do
Oh, I, I do, oh
Oh, I do, oh, I do
Oh, I do"
Still Ill,The Smiths,The Smiths,"{'year': 1984, 'month': 2, 'day': 20}","I decree today that life
Is simply taking and not giving
England is mine, it owes me a living
But ask me why and I'll spit in your eye
Oh, ask me why and I'll spit in your eye
But we cannot cling to the old dreams anymore
No, we cannot cling to those dreams
Does the body rule the mind
Or does the mind rule the body?
I dunno

Under the iron bridge we kissed
And although I ended up with sore lips
It just wasn't like the old days anymore
No, it wasn't like those days
Am I still ill? Ohohoh
Oh, am I still ill? Ohohohoh

Does the body rule the mind
Or does the mind rule the body?
I dunno
Ask me why and I'll die
Oh, ask me why and I'll die
And if you must go to work tomorrow
Well, if I were you I wouldn't bother
For there are brighter sides to life
And I should know because I've seen them
But not very often

Under the iron bridge we kissed
And although I ended up with sore lips
It just wasn't like the old days anymore
No, it wasn't like those days
Am I still ill? Ohohohoh
Oh, am I still ill? Ohohohohohohohohohoh"
Pretty Girls Make Graves,The Smiths,The Smiths,"{'year': 1984, 'month': 2, 'day': 20}","Upon the sand, upon the bay
There is a quick and easy way"" you say
Before you illustrate
I'd rather state
I'm not the man you think I am
I'm not the man you think I am

And sorrow's native son
He will not smile for anyone
And pretty girls make graves

Ohohohoh, ohohohohoh
Ohohohohohohohohoh

End of the pier, end of the bay
You tug my arm, and say
Give in to lust, give up to lust
Oh, heaven knows we'll soon be dust""
Oh, I'm not the man you think I am
I'm not the man you think I am

And sorrow's native son
He will not rise for anyone
And pretty girls make graves Oh, really?)

Ohohohoh, ohohohohoh
Ohohohohohohohohoh

I could have been wild and I could have been free
But nature played this trick on me
She wants it now
And she will not wait
But she's too rough and I'm too delicate
Then, on the sand, another man, he takes her hand
A smile lights up her stupid face, and well, it would
I lost my faith in womanhood, I lost my faith in womanhood
I lost my faith

Ohohohoh, ohohohohoh
Ohohohohohohohohoh
Hand in glove
The sun shines out of our behinds
Ohoh, ohoh"
The Boy with the Thorn in His Side,The Smiths,The Queen is Dead,"{'year': 1985, 'month': 9, 'day': 16}","The boy with the thorn in his side
Behind the hatred there lies
A murderous desire
For love

How can they look into my eyes
And still they don't believe me?
How can they hear me say those words
Still they don't believe me?
And if they don't believe me now
Will they ever believe me?
And if they don't believe me now
Will they ever, they ever believe me?
Oh, ohh
Ohhm ohh

The boy with the thorn in his side
Behind the hatred there lies
A plundering desire
For lllove

How can they see the love in our eyes
And still they don't believe us?
And after all this time
They don't want to believe us
And if they don't believe us now
Will they ever believe us?
And when you want to live, how do you start?
Where do you go? Who do you need to know?
Oh, ohh
Oh, ohh, oh, oh
Oh, ohohohohoh

Oh, woahwoah
Oh, oh
Oh, oh
Oh, oh- oh
La, lalala, ladada
Lada, da, da, dada
La, lalala, ladada
La, lalala, ladada
Lada, da, da, dada
La, lalala, ladada
La, lalala, ladada
Lada, da, da, dada
La, lalala, ladada
La, lalala, ladada
La, lalala, ladada
La, lalala, ladada
Lada, da, da, dada"
Ask,The Smiths,The World Won’t Listen,"{'year': 1986, 'month': 10, 'day': 20}","Shyness is nice and shyness can stop you
From doing all the things in life you'd like to
Shyness is nice and shyness can stop you
From doing all the things in life you'd like to

So, if there's something you'd like to try
If there's something you'd like to try
Ask me, I won't say no,"" how could I?

Coyness is nice and coyness can stop you
From saying all the things in life you'd like to

So, if there's something you'd like to try
If there's something you'd like to try
Ask me, I won't say no,"" how could I?

Spending warm summer days indoors
Writing frightening verse
To a bucktoothed girl in Luxembourg

Ask me, ask me, ask me
Ask me, ask me, ask me
Because if it's not love
Then it's the bomb, the bomb, the bomb, the bomb
The bomb, the bomb, the bomb that will bring us together

Nature is a language, can't you read?
Nature is a language, can't you read?

So ask me, ask me, ask me
Ask me, ask me, ask me
Because if it's not love
Then it's the bomb, the bomb, the bomb, the bomb
The bomb, the bomb, the bomb that will bring us together
If it's not love, then it's the bomb
Then it's the bomb that will bring us together
So ask me, ask me, ask me
Ask me, ask me, ask me, oh

Ladadadadadadadum
Ladadadadadadadum
Ladadadadadadadum
Ladadadadadadadum
Ladadadadadadadum
Ladadadadadadadum
Ladadadadadadadum
Ladadadadadadadum"
What Difference Does It Make?,The Smiths,The Smiths,"{'year': 1984, 'month': 1, 'day': 16}","All men have secrets and here is mine
So let it be known
For we have been through hell and high tide
I think I can rely on you
And yet you start to recoil
Heavy words are so lightly thrown
But still I'd leap in front
Of a flying bullet for you

So, what difference does it make?
So, what difference does it make?
It makes none, but now you have gone
And you must be looking very old tonight

The devil will find work
For idle hands to do
I stole and I lied, and why?
Because you asked me to
But now you make me feel so ashamed
Because I've only got two hands
But I'm still fond of you
Ohohoh

So, what difference does it make?
Oh, what difference does it make?
Oh, it makes none, but now you have gone
And your prejudice won't keep you warm tonight

Oh, the devil will find work
For idle hands to do
I stole, and then I lied
Just because you asked me to
But now you know the truth about me
You won't see me anymore
Well, I'm still fond of you
Ohohoh

But no more apologies
No more, no more apologies
Oh, I'm too tired, I'm so sick and tired
And I'm feeling very sick and ill today

But I'm still fond of you
Ohohoh
Oh, my sacred one
Ohohohohohohoh
Ohohohohohohohohoh
Ohohohohohohohohoh
Ohohohohohohohohoh
Ohoh"
