,Artist,Album,Release Date,Lyrics
Sucker’s Prayer,The Decemberists,I’ll Be Your Girl,"{'year': 2018, 'month': 3, 'day': 16}","I was not ready for the road
I was so discontent to wear that heavy load
And so I got down on my knees
Made a sucker's prayer
Like Rimbaud to Baudelaire before

And when nobody did respond
I took my glasses off and went to find a pond
Stuffing rocks into the pockets of my pants
And when I waded in
Those currents carried them away

I wanna love somebody but I don't know how
I've been so long lonely and it's getting me down
I wanna throw my body in the river and drown
I wanna love somebody but I don't know how


So if you're lost along the way
And if you're thinking that will always be the case
Won't you listen to my plea?
You'll make a sucker's prayer
Just go and leave it thataway

I wanna love somebody but I don't know how
I've been so long lonely and it's getting me down
I wanna throw my body in the river and drown
I wanna love somebody but I don't know how

I wanna love somebody but I don't know how"
I’ll Be Your Girl,The Decemberists,I’ll Be Your Girl,"{'year': 2018, 'month': 3, 'day': 16}","When the summer days live to bore you
And the river lies long before you
And the one that you love ignores you
I'll be your girl

Like a senator works a full room
Like a lover undone by full moon
Like a lily alive in full bloom
I'll be your girl

And when the tempests rage
And all the oceans roar
At your door
I could be your man
But I'd be that much more
And more

So when everything soft abrades you
When fortune has long betrayed you
And you're longing for an arm to stay you
I'll be your girl

And when the tempests rage
And all the oceans roar
At your door
I could be your man
But I'd be that much more
And more

So if you're ever feeling less your time due
Like someone bereft and lied to
And you never need a guy to guide you
I'll be your girl
I'll be your girl
I'll be your girl"
Calamity Song,The Decemberists,The King Is Dead,"{'year': 2011, 'month': 1, 'day': 14}","You and me in the war)

Had a dream
You and me in the war of the end times
And I believe
California succumbed to the fault line
We heaved relief
As scores of innocents died

And the Andalusian tribes
Setting the lea of Nebraska alight
Till all that remains is the arms of the angels

Hetty Green
Queen of supplyside bonhomie bonedrab
You know what I mean
On the road
It's well advised that you follow your own bag
In the year of the chewable Ambien tab

And the Panamanian child
Stands at the Dowager Empress's side
And all that remains is the arms of the angels
And all that remains is the arms of the angels

Ah ooh
Ah ooh, ooh, oh
Ah ooh
Ah ooh, ooh, oh

And you've receded into loam
And they're picking at your bones
We'll come home
We'll come home

Quiet now
Will we gather to conjure the rain down?
Will we now
Build a civilization below ground?
And I'll be crowned the community kickitaround

And the Andalusian tribes
Setting the lea of Nebraska alight
'Til all that remains is the arms of the angels
'Til all that remains is the arms of the angels

Ah ooh
Ah ooh, ooh, oh
Ah ooh
Ah ooh, ooh, oh
Ah ooh
Ah ooh, ooh, oh
Ah ooh
Ah ooh, ooh, oh"
The Wanting Comes in Waves/Repaid,The Decemberists,The Hazards of Love,"{'year': 2009, 'month': 3, 'day': 24}","Mother, I can hear your footfall now
Soft disturbance in the dead fall, how
It precedes you like a black smoke pall
Still the wanting comes in waves

And you delivered me from danger then
Tore my cradle from the reedy glen
Swore to save me from the world of men
Still the wanting comes in waves, in waves, and waves

And the wanting comes in waves
And the wanting comes in waves
And I want this night
And I want this night

How I made you
I wrought you, I pulled you
From ore I labored you
From cancer I cradled you

And now, this is how I am repaid?
This is how I am repaid?

Remember when I found you?
The miseries that hounded you?
And I gave you motion
Anointed with lotions

And now, this is how I am repaid?
This is how I am repaid?

Mother hear this proposition right
Grant me freedom to enjoy this night
And I'll return to you at break of light
For the wanting comes in waves, and waves, and waves

Still the wanting comes in waves
Still the wanting comes in waves
Still the wanting comes in waves
And you owe me life, and you owe me life, oh

And if I grant you
This favor to hand you
Your life for the evening
I will retake by morning
And so consider it your debt repaid
Consider it your debt repaid, repaid, repaid"
We Both Go Down Together,The Decemberists,Picaresque,"{'year': 2005, 'month': 3, 'day': 22}","Here on these cliffs of Dover
So high you can't see over
And while your head is spinning
Hold tight, it's just beginning
You come from parents wanton
A childhood rough and rotten
I come from wealth and beauty
Untouched by work or duty

And oh, my love, my love
And oh, my love, my love
We both go down together

I found you, a tattooed tramp
A dirty daughter from the labor camps
I laid you down on the grass of a clearing
You wept but your soul was willing

And oh, my love, my love
And oh, my love, my love
We both go down together
And my parents will never consent to this love
But I hold your hand

Meet me on my vast veranda
My sweet, untouched Miranda
And while the seagulls are crying
We fall but our souls are flying

And oh, my love, my love
And oh, my love, my love
And oh, my love, oh my love
And oh, my love, my love
We both go down together"
The Hazards of Love 1 (The Prettiest Whistles Won’t Wrestle the Thistles Undone),The Decemberists,The Hazards of Love,"{'year': 2009, 'month': 3, 'day': 24}","My true love went riding out in white and green and gray
Past the pale of Offa's wall where she was won't to stray
And there she came upon a white and wounded fawn
Singing, Oh, the hazards of love""

She, being full of charity, a credit to her sex
Sought to right the fawn's hind legs when here her plans were vexed
The taiga shifted strange, the beast began to change
Singing, Oh, the hazards of love""

Singing, Oh, the hazards of love""
You'll learn soon enough
The prettiest whistles won't wrestle the thistles undone, undone

Fifteen lissome maidens lay alone in their bower
Fourteen occupations paid to pass the idle hour
But Margaret heaves a sigh, her hands clasped to her thigh
Singing, Oh, the hazards of love""

Singing, Oh, the hazards of love.""
You'll learn soon enough
The prettiest whistles won't wrestle the thistles undone, undone
Undone, undone, undoneSee The Decemberists LiveGet tickets as low as $"
Don’t Carry It All,The Decemberists,The King Is Dead,"{'year': 2011, 'month': 1, 'day': 14}","Witness to the arc towards the sun
The neighbor's blessed burden within reason
Becomes a burden borne of all and one

And nobody, nobody knows
Let the yoke fall from our shoulders
Don't carry it all, don't carry it all
We are all our hands in holders
Beneath this bold and brilliant sun
But this I swear to all
A monument to build beneath the arbors
Upon a plinth that towers towards the trees
Let every vessel pitching hard to starboard
Lay its head on summer's freckled knees

And nobody, nobody knows
Let the yoke fall from our shoulders
Don't carry it all don't carry it all
We are all our hands in holders
Beneath this bold and brilliant sun
This I swear to all, this I swear to all
And there a wreath of trillium and ivy
Laid upon the body of a boy
Lazy will the loam come from its hiding
Return this quiet searcher to the soil
So raise a glass to turnings of the season
And watch it as it arcs towards the sun
And you must bear your neighbor's burden within reason
And your labors will be borne when all is done

And nobody, nobody knows
Let the yoke fall from our shoulders
Don't carry it all don't carry it all
We are all our hands in holders
Beneath this bold and brilliant sun
And this I swear to all
And this I swear to all
And this I swear to all
To all, to all, to all"
Philomena,The Decemberists,"What a Terrible World, What a Beautiful World","{'year': 2015, 'month': 1, 'day': 20}","Lean to your window, let slip a ribbon down
A cure to your boredom, if only youd let me go
Down, down, down
Long summer days can lead to lazy vices
Boys all in idle, left to their own devices
Open up your linen lap and let me go
Down, down, down
All I ever wanted in the world
Was just to live to see a naked girl
But I found I quickly bored
I wanted more, I wanted more
So Ill be your candle and Ill be your statuette
And Ill be your lashing loop of leatherette
And oh Philomena, if only you'd let me go
Down, down, down
All I ever wanted in the world
Was just to live to see a naked girl
But I found I quickly bored
I wanted more, oh, so much more
So Ill be your candle and Ill be your statuette
And Ill be your lashing loop of leatherette
And oh Philomena, if only you'd let me go
Down, down, down
Go down, down, down
Go down, down, down
To go downSee The Decemberists LiveGet tickets as low as $"
16 Military Wives,The Decemberists,Picaresque,"{'year': 2005, 'month': 3, 'day': 22}","Thirtytwo softly focused brightly colored eyes
Staring at the natural tan
Of thirtytwo gently clenching wrinkled little hands
Seventeen company men
Out of which only twelve will make it back again
Sergeant sent a letter to five
Military wives whose tears drip down from ten little eyes
Cheer them on to their rivals
Cause America can, and America can't say no
And America does, if America says it's so
It's so
And the anchorperson on TV goes...
La de da de da
Fifteen celebrity minds
Living their fifteen sordid wretched checkered lives
Will they find the solution in time
Using their fifteen pristine moderate liberal minds?
Eighteen academy chairs
Out of which only seven really even care
Doling out a garland to five
Celebrity minds, they're humbly taken by surprise
Cheer them on to their rivals
Cause America can, and America can't say no
And America does, if America says it's so
It's so
And the anchorperson on TV goes...
La de da de da dedadedadeda
La de da de da dedadedadeda
Fourteen cannibal kings
Wondering blithely what the dinner bell will bring
Fifteen celebrity minds
Served on a leafy bed of sixteen military wives
Cheer them on to their rivals
Cause America can, and America can't say no
And America does, if America says it's so
It's so
And the anchorperson on TV goes...
La de da de da dedadedadeda
La de da de da dedadedadeda"
Rox in the Box,The Decemberists,The King Is Dead,"{'year': 2011, 'month': 1, 'day': 14}","Get the rocks in the box
Get the water right down to your socks
This bulkhead's built of fallen brethren bones
We all do what we can
We endure our fellow man
And we sing our songs to the headframe's creaks and moans

And it's one, two, three
On the wrong side of the lee
What were you meant for?
What were you meant for?
And it's seven, eight, nine
You get your shovel back in line
And if you ever make it to ten, you won't make it again
And if you ever make it to ten, you won't make it again

And you won't make a dime
On this gray granite mountain mine
Of dirt you're made and to dirt you will return
So while we're living here
Let's get this little one thing clear
There's plenty of men to die, you don't jump your turn

And it's one, two, three
On the wrong side of the lee
What were you meant for?
What were you meant for?
And it's seven, eight, nine
You get your shovel back in line
And if you ever make it to ten, you won't make it again
And if you ever make it to ten, you won't make it again
And it's one, two, three
On the wrong side of the lee
What were you meant for?
Whatever you're meant for
And it's seven, eight, nine
You get your shovel back in line
And if you ever make it to ten, you won't make it again
And if you ever make it to ten, you won't make it again
And if you ever make it to ten, you won't make it again"
