,Artist,Album,Release Date,Lyrics
The Fool,Neutral Milk Hotel,In the Aeroplane Over the Sea,"{'year': 1998, 'month': 2, 'day': 10}","Dedoo...
"
Naomi,Neutral Milk Hotel,On Avery Island,"{'year': 1996, 'month': 3, 'day': 26}","Your prettiness is seeping through
Out from the dress I took from you
So pretty
And my emptiness is swollen shut
Always a wretch I have become
So empty

And please please don't leave me

I'm watching Naomi, full bloom
I'm hoping she will soon explode
Into one billion tastes and tunes
One billion angels come and hold her down
They could hold her down until she cries

I'm tasting Naomi's perfume
It tastes like shit and I must say
She comes and goes most afternoons
One billion lovers wave and love her now
They could love her now and so could I

There is no Naomi in view
She walks through Cambridge stocks and strolls
And if she only really knew
One billion angels could come and save her soul
They could save her soul
Until she shines, until she shines
Until she shines, until she shines
Until she shines, until she shines

So pretty, so pretty
So pretty, so pretty
And please please don't leave me"
[untitled],Neutral Milk Hotel,In the Aeroplane Over the Sea,"{'year': 1998, 'month': 2, 'day': 10}",
Gardenhead / Leave Me Alone,Neutral Milk Hotel,Beauty,"{'year': 1996, 'month': 3, 'day': 26}","
There are beads that wrap
Around your knees that crackle into the dark
Like a walk in the park
Like a hole in your head
Like the feeling you get when you realize you're dead
This time
We ride roller coasters into the ocean
We feel no emotion as we spiral down to the world
And I guess it's worth your time
Because there's some lives you live
And some you leave behind
It gets hard to explain
The gardenhead knows my name

Leave me alone
For you know this isn't the first time
In fact this is twice in a row
That the angels have slipped through our landslide
And filled up our garden with snow
And I don't wish to taste of your insides
Or to call out your name through my phone
For the glory boys at your bedside
Will love you as long as you're something to own
Will love you as long as you're something to own

Follow me through
A city of frost covered angels
I swear I have nothing to prove
I just want to dance in your tangles
To give me some reason to move
But to take on the world at all angles
Requires a strength I can't use
So I'll meet you up high in your anger
Of all that is hoping and waiting for you
Of all that is hoping and waiting for you"
April 8th,Neutral Milk Hotel,Unreleased Demo #2,"{'year': 1996, 'month': 3, 'day': 26}","Crawl across toward your window
I'm calling softly from the street
Always a lonely widow
Half awake and sleeping on my feet
I'm of age but have no children
No quarter phone booth calls to home
Just late night television
Inside my bedroom all alone

There is no use in waiting
Offer up your steps so I can climb
Show me all your figure paintings
Etched in the middle of the night
Let me stretch upon your carpet
Let me hear the rain tap on your street
Knowing I am safe on the inside
Blankets wrapped and drifting off to sleep"
Where You’ll Find Me Now,Neutral Milk Hotel,On Avery Island,"{'year': 1996, 'month': 3, 'day': 26}","All I perceive is wasted and broken
Silvery streams, sacred when spoken
Slam into me and into the ditch of debris
And you smoke in the park, you sleep in the greenery
Everyone barks and they are all still believing
To tear out your heart would send all your secrets to me

But I let you down
Swollen and small is where you'll find me now
With that silver stripping off
From my tongue you're tearing out
And you'll never hear me talk

Your teeth believe that teeth are for tearing
Tear into me, the scent of you sweating smells good to me
As long as we keep in our clothes
And out in the dark the world is still rolling
Kids in their cars, cigarette smoking
And all that they are just reeks with the sweetest belief

But I let you down
Swollen and small is where you'll find me now
With that silver stripping off
From my tongue you're tearing out
And you'll never hear me talk

All I could want is silver and spinning
Out from your arms and into the pretty
Pit of your heart, so simply and softly we'd flow

But I let you down
Swollen and small is where you'll find me now
With that silver stripping off
From my tongue you're tearing out
And you'll never hear me talk

Glow into you
I will glow into you"
Oh Sister,Neutral Milk Hotel,Ferris Wheel on Fire,"{'year': 2011, 'month': 12, 'day': 12}","Oh sister, don't be afraid of me
I won't be nailing you down in the nursery
Just like the rest of them did
With those watery, wandering fingers of spit
That were supposed to be glorious and fine
Oh sister, won't you believe in me
I only wanted to be hard on the family
Here with you now in this silly infirmary
Your mother makes frantic and drunk calls
From Germany all of the time
And oh sister, sweet brown and beulahery
And milk from your blisters
On your grandmother's jewelry
There in the parlor all naked in front of me
Watching the lights from the cracks
Making archery animal designs

Rose Wallace Goldaline just moves her mouth over anything
That's fleshy free and flowering like oranges out in the open
But don't you waste your sins again
She don't need you or won't fuck your friends
And you, you're American
Selfimportant boiling over
To prove that she must still exist
She moves herself about her fist
And won't ever never give a shit
About all those words you're wasting
To gain some pretty, bright and bubbly
Wondrous dream
You'd like to kill and cling
And claim her as your own
But don't you worry
All those dainty and dirty emotions
Just go away and fade out on their

Own sister, now that you're leaving
Our fingers will falter
Our lungs will be leaking
All over each other and without even speaking
We'll know that it's over and smile and go greeting
Whatever comes next
And oh, sister
You're getting married with some angry twister
That you'll have to carry home
Drunk every evening from the cemetery
If he makes it back half alive you can
Bury him under your sheets
And oh, sister
Now that you're grieving
I can not imagine there is any meaning
Forgetting you ever could once had
The feeling that made you keep on
And pretend you were breathing of all of this world
And in an age of empty rings
I don't want to feel a thing
I don't even want to know
And Rose Wallace Goldaline
Don't you ever die on me
Dont you own the way you go"
A Baby for Pree,Neutral Milk Hotel,On Avery Island,"{'year': 1996, 'month': 3, 'day': 26}","Blistering Pree, all smiling and swollen
Makes babies to breathe
With their hearts hanging open all over the sheets
As soft as beets in some brown dresser drawer
And with bees in her breath and the rest of her ringing
They'll sting through her chest with a force hard and beating
Till wonderfully wet she will get
Until she's soaked inside her clothes
And there is no sorry to be sorry for
For a roll around the floor some afternoon so sound and soft
It made her swallow all her sweat
With every bit of breath she coughs
And when the day it came to pour all her babies
All across the bathroom floor
She will be swimming in them all forever more"
My Dream Girl Don’t Exist [Live 1992],Neutral Milk Hotel,Ferris Wheel on Fire,"{'year': 2011, 'month': 12, 'day': 12}","Okay, this next song is um… it's a companion to another song but it will neve― probably never coming out ether. But, I write these, I write these longs songs and they get cut up into other songs and then some songs make it, some don't but. lets see

My dream girl don't exist
At the age of five she slit her wrist
She didn't know that I'd be hanging around
So her parents buried her in the ground
And this day I can still hear the sound of a life in outer space

My dream girl don't exist
Just you and I and this TV
And this illness seems to feel so strange
Like a henchman that's about to hang the moon up like a ball and chain
And set its sands ablaze

And the weight is waiting on
Feel the world so real and strong

My dream girl don't exist
Took her photograph from a history book
And I believe she had a voice and name
Three children on the coast of Maine
Her life was in a hurricane of love and real embrace

My dream girl don't exist
At the age of five she slit her wrist
She didn't know that I'd be hanging around
So one day she took a stroll to town
And walked in front of a Greyhound bound for New York central state

And the weight is waiting on
And the weight is waiting on
Feel the world so real and strong
She goes and now she knows she'll never be afraid"
I Will Bury You in Time,Neutral Milk Hotel,Ferris Wheel on Fire,"{'year': 2011, 'month': 12, 'day': 12}","I will bury you in time
When the sea begins to slide
Into this hole where I am smiling on your shoulder
You have buried my beliefs
Where all you sisters sleep
That their scent the purity will make
When the youth is over
Frozen in some lost October

And I am breathing into you
It makes your features move
And they shimmer like balloons that fly above the ocean
All the world is waiting here
You can hear the children cheer
But they'll need you when you're near
The brink of complete implosion
Crown your king when your life is broken
Everything you are I'm tearing through
Everything you want I'm wanting too
I gave you more than I thought I could ever do
And I will never break you

And if I was the king of all the kids
You'd you hear me singing in my spit
But all you would hear is the shit inside my burnt emotions
I will bury you in time
When the sea begins to slide
Into this hole where you and I will sing our songs unbroken
As the water starts its choking

Dee dee dee dee dee dee dee
Dee dee dee dee dee dee dee
Dee dee dee dee dee dee dee
Dee dee dee dee dee dee dee
Dee dee dee dee dee dee dee
Dee dee dee dee dee dee dee
Dee dee dee dee dee dee dee"
