,Artist,Album,Release Date,Lyrics
Flowers in Your Hair,The Lumineers,The Lumineers EP,"{'year': 2009, 'month': 12, 'day': 19}","When we were younger we thought
Everyone was on our side
Then we grew a little bit
And romanticized
The time I saw
Flowers in your hair

See, it takes a boy to live
It takes a man to pretend he was there

So then we grew a little
And knew a lot
And how we demonstrated
It to the cops
And all the things we said
We were selfassured

'Cause it's a long road to wisdom
But it's a short one to bein' ignored

Be in my eyes
And be in my heart
Be in my eyes, aye, aye, aye
And be in my heart

So now I think that I could
Love you back
And I hope it's not too late
'Cause you're so attractive
And the way you move
I won't close my eyes

'Cause it takes a man to live
It takes a woman to make him compromise

So be in my eyes
Be in my heart
Be in my eyes, aye, aye, aye
And be in my heart"
Leader of the Landslide,The Lumineers,III,"{'year': 2019, 'month': 8, 'day': 2}","In your old wicker chair
Singing, ooh
You were wrong, I was right
Didn't matter in a fight
Singing, ooh
Coffee mug, filled it up
Always knew what it was
Singing, ooh
Been on your side for years
You could never love without crying
Ooh
Is she dead? Is she fine?
Every day, every night
Fate has dealt me a lonely blow
I said, ooh
Tried to help, but only hurt
In the end, I made it worse
Singing, ooh
Is she dead? Is she fine?
Every day, every night
Give back my keys, give back my chair
Take back those clothes you always left on the floor
You drove me wild, drove me insane
Drank the whole bottle and forgot my name
All I ever wanted was a mother for the first time
Finally, I can see you as the leader of the landslide
She left, she left, the writing's on the wall
Please believe me, I smell the alcohol
The only thing I know is that we're in too deep
And maybe when she's dead and gone, I'll get some sleep
You blamed it all on your kids
We were young, we were innocent
You told me a lie, fuck you for that
Fuck all your pride and fuck all your prayers
And all this time, I waited like a fool, and for the first time
Finally, I can see you as the leader of the landslide
She left, she left, the writing's on the wall
Please believe me, don't answer when she calls
The only thing I know is that we're in too deep
And maybe when she's dead and gone, I'll get some sleep
Out there on my own, I was feeling so alone
Like a poltergeist in the afterlife
Fading by degrees, I was shaking in the knees
In the aftermath of this broken glass
Oh, oh, oh"
Gale Song,The Lumineers,Cleopatra,"{'year': 2013, 'month': 11, 'day': 1}","It's a lonely road, full of tired men
And you can see it in their faces
And you'll be home in spring, I can wait 'til then
I heard you're on the big train

And, oh, this too shall pass
This loneliness won't last for long

I wasn't there to take his place
I was ten thousand miles away
So when you hear my voice
When you say my name
May it never give you pain
But I don't wanna go, but it's time to leave
You'll be on my mind, my destiny

And I won't fight in vain
I'll love you just the same, oh

I couldn't know what's in your mind
But I saw the pictures, you're looking fine
And there was a time when I stood in line
For love, for love, for love
But I let you go, oh
I let you go

And he fell apart with his broken heart
And this blood, this blood, this blood
Oh, it drains from my skin, it does"
Life in the City,The Lumineers,III,"{'year': 2019, 'month': 5, 'day': 17}","Woo, woo
Woo, woo

And if the city's skyscrapers rise over this island
Would you be glad to see Manhattan for once?
I knew the dream, it died, JMZ line, Myrtle, and Broadway
But I'd be glad to see Manhattan for once

Woahwoah, living life in the city
Woahwoah, it will never be pretty, oh, oh
Woahwoah, we can plan if we make it
Woahwoah, we won't let 'em
They won't take it from me, no, oh, oh, woah Two, three, four)

Woo, woo
Woo, woo

And if you leave, don't leave me all alone
'Cause I'll be scared, I'll be naked, I'll get cold
And I miss my dad and Cleopatra sitting on a phone
So take me back off these streets and we'll never be apart
Together from the start
Never, never falling back alone

Living life in the city
Ohoh, it will never be pretty, oh, oh
Ohoh, we can plan if we make it
Woahwoah, we won't let 'em
They won't take it from me, no, oh, oh, woah

And if the sun don't shine on me today
And if the subways flood and bridges break
Will you just lay down and dig your grave?
Or will you rail against your dying day?

Dadadada, da, da, daahda
Dadadadaah, da, da, da
Dadadada, da, da, daahda
Dadadadaah, da, da, da"
Gloria,The Lumineers,III,"{'year': 2019, 'month': 4, 'day': 5}","Gloria, I smell it on your breath
Gloria, booze and peppermint
Gloria, no one said enough is enough
Gloria, they found you on the floor
Gloria, my hand was tied to yours
And, Gloria, did you finally see that enough is enough?

Did you know me when I was younger then?
I could take the whole world with me
I would find myself feelin' alone
Heaven, help me now, Heaven, show the way
Get me back on my own two feet
I would lie awake and pray you don't lie awake for me

Ohohohoh
Ohohohoh
Ohohohohoh

Gloria, you crawled up on your cross
Gloria, you made us sit and watch
Gloria, no one said enough is enough

Heaven, help me now Heaven, help)
Heaven, show the way Heaven, show)
Get me back on my own two feet
I would lie awake and pray you don't lie awake for me
Every night awake Every night)
Every day alone Every day)
Get me back on my own two feet
I would lie awake and pray you don't lie awake for me

Ohohohoh
Ohohohoh
Ohohohohoh

Gloria, will you just decide?
Gloria, there's easier ways to die
Gloria, have you had enough?"
Dead Sea,The Lumineers,The Lumineers (Deluxe Edition) ,"{'year': 2012, 'month': 4, 'day': 3}","I stood alone upon the platform in vain
The Puerto Ricans, they were playing their salsa in the rain
With open doors and manual locks
In fast food parking lots
I headed west, I was a man on the move
New York had lied to me, I needed the truth
Oh, I need somebody, I needed someone I could trust
And I don't gamble, but if I did I would bet on us

Like the Dead Sea
You told me I was like the Dead Sea
You'll never sink when you are with me
Oh lord, like the Dead Sea
Woah, I'm like the Dead Sea
The finest words you ever said to me
Honey can't you see, I was born to be
Be your Dead Sea

You told me you were good at runnin' away
Domestic life, it never suited you like a suitcase
You left with just the clothes on your back
They took the rest when you took a nap
Yes, there are times we live for somebody else
Your father died and you decided to live it for yourself, you felt
You just felt it was time
And I'm glad, 'cause you with cats
That's just not right

Like the Dead Sea
You told me I was like the Dead Sea
You'll never sink when you are with me
Oh lord, I'm your Dead Sea
Woah, I'm like the Dead Sea
The nicest words you ever said to me
Honey can't you see, I was born to be
Be your Dead Sea

I've been down, I've been defeated
You're the message, I will heed it
Would you stay with me
Would you stay the night, ooh

Dead Sea
You told me I was like the Dead Sea
You'll never sink when you are with me
Oh lord, I'm so Dead Sea
Woah, I'm like the Dead Sea
The nicest words you ever said to me
Honey can't you see, I was born to be
Be your Dead Sea"
Gun Song,The Lumineers,The Lumineers EP,"{'year': 2009, 'month': 12, 'day': 19}","I don't own a single gun
But if I did, you'd be the one
To hold it, aim it, make all of the bad men run
But I don't own a single gun

And I don't have a sweetheart yet
But if I did, I'd break my neck to please her
Make her want to stay in my arms, she'd rest
But I don't have a sweetheart yet

I can't believe what I found in daddy's sock drawer
Sock drawer, today
It was a pistol, a Smith & Wesson
Holy— Holy shit!

Lalalalala, lalalalala, lala, lala, lala
Lalalalala, lalalalala, lala, lala, la
Lalalalala, lalalalala, lala, lala, lala
Lalalalala, lalalalala, lala, lala, lala
Lalalalala, lalalalala, lala, lala, lala
Lalalalala, lalalalala, lala, lala, lala
One, two— One, two, three, four!

Things I knew when I was young
Some were true and some were wrong
And one day, I pray, I'll be more than my father's son
But I don't own a single gun

Lalalalala, lalalalala, lala, lala, la
Lalalalala, lalalalala"
It Wasn’t Easy to Be Happy for You,The Lumineers,III,"{'year': 2019, 'month': 7, 'day': 19}","On the last time we met
Your love was dead
You held my hand
Bit your tongue
Shut me out
Spilled my blood
All around

Yeah, it wasn't easy to be happy for you
Yeah, I took the poison, praying you'd feel it too
You held your punches back and I left the room
Yeah, it wasn't easy to be happy for you

All alone
You always felt
We dragged you down
Gave me hell
Made your bed
Now you sleep
On your own
Guess we'll see

Yeah, it wasn't easy to be happy for you
Yeah, I took the poison, praying you'd feel it too
You held your punches back and I left the room
Yeah, it wasn't easy to be happy for you

I know that you tried
But you're no friend of mine
Falling apart
You played it the best
A dame in distress, ooh

Yeah, it wasn't easy to be happy for you
Yeah, I wrapped my neck and prayed that you'd feel the noose
I saw the restaurant table for two
Yeah, it wasn't easy to be happy for you
Yeah, it wasn't easy to be happy for you
Yeah, I took the poison, praying you'd feel it too
You held your punches back and I left the room
Yeah, it wasn't easy to be happy for you

Yeah
Yeah
Yeah"
BRIGHTSIDE,The Lumineers,BRIGHTSIDE,"{'year': 2021, 'month': 9, 'day': 20}","I could see it in the air
Every word was like smoke from a cigarette
You were blowin' in your hands
The heater broke in the Oldsmobile
And the light in your eyes
Alone on the freeway

I was stranded in the bed
You were listening to The Dark Side of the Moon
I could barely see your eyes
Psilocybin in a hotel room

And the light in your eyes
The waves on the ceiling

Ill be your brightside, baby, tonight
I'll be your brightsidе, baby, tonight
Tonight

You were tired of Tacoma
I was tirеd of believing we were right
Losing every other friend
Finding nothing in the afterlife

But the light in your eyes
Alone on a feeling

I'll be your brightside, baby, tonight
Ill be your brightside, baby, tonight
Tonight

You're stranded on the bridge
You're crying for your kids
I'll be your brightside, baby, tonight
Tonight
Tonight

I could see it in the air
Every word was like smoke from a cigarette
Sun is coming up ahead
Get your crack in the windshield shine

And the light in your eyes
Alone on the freeway
I'll be your brightside, baby, tonight
I'll be your brightside, baby, tonight
Tonight

You're stranded on the bridge
The cops are closing in
I'll be your brightside, baby, tonight
Tonight
Tonight"
Jimmy Sparks,The Lumineers,III,"{'year': 2019, 'month': 9, 'day': 13}","Jimmy Sparks went into bars and opened up his mouth
Said some things to wounded men that they could not allow
When it came to talking, he was always on the run
Everyone knew what the man had done
Oh, he'll take you for a ride
Jimmy believed in the American way
A prison guard, he worked hard and made the minimum wage
He found his freedom lockin’ men in a cage, oh
Jimmy loved Bonnie and he fathered a kid
A baby boy, but the mother had other reasons to live
She left the baby with a note on the bed, oh
It was a struggle just to cover the rent
His jail cut hours and now his little baby was sick
He needed money and he needed it quick
It was  AM

Oh, my love, oh, my love
Could you spare my blood, spare my blood?

Jim woke his son and buckled him in the car
They drove an hour from town and found a gambling hall
The waitress babysat the boy at the bar, oh no
After an hour, Jimmy doubled his cash
He took his kid and his winnings as the dealer just laughed
He said they leave, but then they always come back, that's a fact
Out on the road, they caught a stranger in the lights
His thumb was up and his son asked if the man was alright
Jim said you never give a hitcher a ride 'cause its us or them
It was  AM

Oh, my love, oh, my love
Could you spare my blood, spare my blood?

 years gone and now the boy is a man
Broke Jimmy's habits, got in mountains and mountains of debt
And now the sharks are coming back to collect, ohoh
They stripped his jewelry and the boots off Jim's feet
They kick him out of the car and say we'll give you a week
Eight miles from home and only  degrees
It was  AM

Oh, my love, oh, my love
Could you spare my blood, spare my blood?

Now Jimmy's son is trying to make his way home
His graveyard shift had ended and it was starting to snow
He sees an old man walking barefoot alone
It was  AM
His old man waved his hands with tears in his eyes
But Jimmy's son just sped up and remembered daddy's advice
No, you don't ever give a hitcher a ride cause its us or them
'Cause its me or him
It was  AM,  AM"
