,Lyrics,Word Counts
One More Weekend,"I fell in love with how you emphasize your sentences
And I got a crush on the shape of your name on my phone
Then I fell harder for your fifties movies references
And the world is smaller with you, maybe I'm not so alone
Or maybe we're alone together
Now you're packing up your bedroom on the west-side
So, I bring you breakfast and we lie on the floor of my apartment
Isn't it alarmin', it was October, January, almost July
Here's a toast to getting older, now we're young and soon we'll die

Nothing lasts forever
One more weekend in the city
Break up through the summer, leave me all on my own
One more weekend can you kiss me?
Tell me that you miss me even if you won’t

I guess my memories get better with the distance
So, I made a list of all the reasons why I felt conflicted
You were teaching me to drive your parents' car around your high school parking lot
Michigan seems like a dream, but I woke up and I forgot

Nothing lasts forever
One more weekend in the city
Break up through the summer, leave me all on my own
One more weekend can you kiss me?
Tell me that you miss me even if you won’t

(I-I wa-want you) 'Cause I know you won't
(I-I wa-want you) 'Cause I know you won't
(I-I wa-want you) 'Cause I know you won't

Maybe I've been lying to myself since last October
'Cause I saw you 'cross the campus and I wished it wasn't over
And I know you're late to class, but can I take back every single thing I said?
If we just had one more weekend, could we try it all again?

And nothing lasts forever
One more weekend in the city
Break up through the summer, leave me all on my own
One more weekend can you kiss me?
Tell me that you miss me even if you won’t

(I-I wa-want you) 'Cause I know you won't
(I-I wa-want you) 'Cause I know you won't
(I-I wa-want you) 'Cause I know you won't","{'I': 20, 'fell': 2, 'in': 4, 'love': 1, 'with': 3, 'how': 1, 'you': 18, 'emphasize': 1, 'your': 6, 'sentences': 1, 'And': 4, 'got': 1, 'a': 4, 'crush': 1, 'on': 7, 'the': 13, 'shape': 1, 'of': 3, 'name': 1, 'my': 6, 'phone': 1, 'Then': 1, 'harder': 1, 'for': 1, 'fifties': 1, 'movies': 1, 'references': 1, 'world': 1, 'is': 1, 'smaller': 1, 'you,': 1, 'maybe': 2, ""I'm"": 1, 'not': 1, 'so': 1, 'alone': 2, 'Or': 1, ""we're"": 2, 'together': 1, 'Now': 1, ""you're"": 2, 'packing': 1, 'up': 5, 'bedroom': 1, 'west-side': 1, 'So,': 2, 'bring': 1, 'breakfast': 1, 'and': 4, 'we': 3, 'lie': 1, 'floor': 1, 'apartment': 1, ""Isn't"": 1, 'it': 4, ""alarmin',"": 1, 'was': 1, 'October,': 1, 'January,': 1, 'almost': 1, 'July': 1, ""Here's"": 1, 'toast': 1, 'to': 4, 'getting': 1, 'older,': 1, 'now': 1, 'young': 1, 'soon': 1, ""we'll"": 1, 'die': 1, 'Nothing': 2, 'lasts': 3, 'forever': 3, 'One': 6, 'more': 7, 'weekend': 6, 'city': 3, 'Break': 3, 'through': 3, 'summer,': 3, 'leave': 3, 'me': 10, 'all': 5, 'own': 3, 'can': 4, 'kiss': 3, 'me?': 3, 'Tell': 3, 'that': 3, 'miss': 3, 'even': 3, 'if': 3, 'won’t': 3, 'guess': 1, 'memories': 1, 'get': 1, 'better': 1, 'distance': 1, 'made': 1, 'list': 1, 'reasons': 1, 'why': 1, 'felt': 1, 'conflicted': 1, 'You': 2, 'were': 1, 'teaching': 1, 'drive': 1, ""parents'"": 1, 'car': 1, 'around': 1, 'high': 1, 'school': 1, 'parking': 1, 'lot': 1, 'Michigan': 1, 'seems': 1, 'like': 2, 'dream,': 1, 'but': 2, 'woke': 1, 'forgot': 1, 'might': 1, 'also': 1, '(I-I': 6, 'wa-want': 6, 'you)': 6, ""'Cause"": 7, 'know': 7, ""won't"": 6, 'Maybe': 1, ""I've"": 1, 'been': 1, 'lying': 1, 'myself': 1, 'since': 1, 'last': 1, 'October': 1, 'saw': 1, ""'cross"": 1, 'campus': 1, 'wished': 1, ""wasn't"": 1, 'over': 1, 'late': 1, 'class,': 1, 'take': 1, 'back': 1, 'every': 1, 'single': 1, 'thing': 1, 'said?': 1, 'If': 1, 'just': 1, 'had': 1, 'one': 1, 'weekend,': 1, 'could': 1, 'try': 1, 'again?': 1, 'nothing': 1}"
Shoot and Run,"You look so good, I think you're the one
I can't help but stare lately
You're pulling me in, you're everything I want
Damn, it's so unfair baby
I'll give you it all, but it's not enough
Love just really scares me
And they say that I'ma fuck it up
But, you don't really care, maybe

But baby, you know that I just misbehave
I'm not the type who can sit down and stay
I don't deserve you as much as I want to
So bad, so bad

But if you wanna go
I'll be your best mistake
All's fair in love and war
That's just how we play
And baby I don't keep my promises
I just shoot and run
You know it from the start
I'll only break your heart
I'll break your heart

And we go, wind in my hair
Driving through the light
The way you move and everything you do
Makes me wanna stay the night
But, I know you too well and I'ma make you bleed
I can never do you right
And I don't wanna see you cry
And I'm the reason why

But baby, you know that I just misbehave
I'm not the type who can sit down and stay
I don't deserve you as much as I want to
So bad, so bad

But if you wanna go
I'll be your best mistake
All's fair in love and war
That's just how we play
And baby I don't keep my promises
I just shoot and run
You know it from the start
I'll only break your heart
I'll break your heart
And I think I love you but babe I don't want to
I'm only gonna mess around
And you make it worth it but I don't deserve it
I'm only gonna let you down

But if you wanna go
I'll be your best mistake
All's fair in love and war
That's just how we play
And baby I don't keep my promises
I just shoot and run
You know it from the start
I'll only break your heart
I'll break your heart

You know it from the start
I'll only break your heart
I'll break your heart","{'You': 6, 'look': 1, 'so': 4, 'good,': 1, 'I': 22, 'think': 2, ""you're"": 2, 'the': 10, 'one': 1, ""can't"": 1, 'help': 1, 'but': 4, 'stare': 1, 'lately': 1, ""You're"": 1, 'pulling': 1, 'me': 3, 'in,': 1, 'everything': 2, 'want': 4, 'Damn,': 1, ""it's"": 2, 'unfair': 1, 'baby': 4, ""I'll"": 12, 'give': 1, 'you': 18, 'it': 9, 'all,': 1, 'not': 3, 'enough': 1, 'Love': 1, 'just': 9, 'really': 2, 'scares': 1, 'And': 9, 'they': 1, 'say': 1, 'that': 3, ""I'ma"": 2, 'fuck': 1, 'up': 1, 'But,': 2, ""don't"": 9, 'care,': 1, 'maybe': 1, 'But': 5, 'baby,': 2, 'know': 7, 'misbehave': 2, ""I'm"": 5, 'type': 2, 'who': 2, 'can': 3, 'sit': 2, 'down': 3, 'and': 10, 'stay': 3, 'deserve': 3, 'as': 4, 'much': 2, 'to': 3, 'So': 2, 'bad,': 2, 'bad': 2, 'if': 3, 'wanna': 5, 'go': 3, 'be': 3, 'your': 11, 'best': 3, 'mistake': 3, ""All's"": 3, 'fair': 3, 'in': 4, 'love': 4, 'war': 3, ""That's"": 3, 'how': 3, 'we': 4, 'play': 3, 'keep': 3, 'my': 4, 'promises': 3, 'shoot': 3, 'run': 3, 'from': 4, 'start': 4, 'only': 6, 'break': 8, 'heart': 8, 'might': 1, 'also': 1, 'like': 1, 'go,': 1, 'wind': 1, 'hair': 1, 'Driving': 1, 'through': 1, 'light': 1, 'The': 1, 'way': 1, 'move': 1, 'do': 2, 'Makes': 1, 'night': 1, 'too': 1, 'well': 1, 'make': 2, 'bleed': 1, 'never': 1, 'right': 1, 'see': 1, 'cry': 1, 'reason': 1, 'why': 1, 'babe': 1, 'gonna': 2, 'mess': 1, 'around': 1, 'worth': 1, 'let': 1}"
Walk Backwards,"I guess I'll never understand
The line between our love and romance
'Cause when I look at you I
Fall right into a dream
Under galaxies in the middle of the city in New York
So, I say thanks to an unknown force

Me and my friends do whatever we want
And by friends I really only mean one in particular
And that's you

Mmm, your hair's untied
And it's only just about a quarter to nine
You live east, so I walk backwards
Sun's slippin' south on the west-side
And we still got the rest of the night
You live east, so I walk backwards babe

I know your boyfriend's mad
Watch you grabbin' my hand all day
So, I just play it cool
'Cause, I can't believe I found you
Within the Milky Way out of all eight billion people
So, I say thanks to an unknown force

Me and my friends do whatever we want
And by friends I really only mean one in particular
(And) And that's you (It's you)

Mmm, your hair's untied
And it's only just about a quarter to nine
You live east, so I walk backwards
Sun's slippin' south on the west-side
And we still got the rest of the night
You live east, so I walk backwards babe

You live east so I (Walk backwards babe)
(While you scooter past me, hey)
You live east so I (Walk backwards babe)
Walk backwards babe
You live east so I (Walk backwards babe)
(While you scooter past me, hey)
You live east so I (Walk backwards babe)
Walk backwards babe","{'I': 19, 'guess': 1, ""I'll"": 1, 'never': 1, 'understand': 1, 'The': 1, 'line': 1, 'between': 1, 'our': 1, 'love': 1, 'and': 3, 'romance': 1, ""'Cause"": 1, 'when': 1, 'look': 1, 'at': 1, 'you': 7, 'Fall': 1, 'right': 1, 'into': 1, 'a': 3, 'dream': 1, 'Under': 1, 'galaxies': 1, 'in': 4, 'the': 9, 'middle': 1, 'of': 4, 'city': 1, 'New': 1, 'York': 1, 'So,': 3, 'say': 2, 'thanks': 2, 'to': 4, 'an': 2, 'unknown': 2, 'force': 2, 'Me': 2, 'my': 3, 'friends': 4, 'do': 2, 'whatever': 2, 'we': 4, 'want': 2, 'And': 8, 'by': 2, 'really': 2, 'only': 4, 'mean': 2, 'one': 2, 'particular': 2, ""that's"": 2, 'Mmm,': 2, 'your': 3, ""hair's"": 2, 'untied': 2, ""it's"": 2, 'just': 3, 'about': 2, 'quarter': 2, 'nine': 2, 'You': 9, 'live': 8, 'east,': 4, 'so': 8, 'walk': 4, 'backwards': 10, ""Sun's"": 2, ""slippin'"": 2, 'south': 2, 'on': 2, 'west-side': 2, 'still': 2, 'got': 2, 'rest': 2, 'night': 2, 'babe': 4, 'know': 1, ""boyfriend's"": 1, 'mad': 1, 'Watch': 1, ""grabbin'"": 1, 'hand': 1, 'all': 2, 'day': 1, 'play': 1, 'it': 1, 'cool': 1, ""'Cause,"": 1, ""can't"": 1, 'believe': 1, 'found': 1, 'Within': 1, 'Milky': 1, 'Way': 1, 'out': 1, 'eight': 1, 'billion': 1, 'people': 1, 'might': 1, 'also': 1, 'like': 1, '(And)': 1, ""(It's"": 1, 'you)': 1, 'east': 4, '(Walk': 4, 'babe)': 4, '(While': 2, 'scooter': 2, 'past': 2, 'me,': 2, 'hey)': 2, 'Walk': 2}"
Furniture,"I'm probably gonna get hurt this weekend
'Cause you and I ended and you like new beginnings too much
I mentioned that I hope we stay friends
But I regret what I said ‘cause I heard what you told Emma

And damn, I really hate your guts
I hate all your friends and I miss you so much
But I blocked all your texts, wow this party sucks
So I'll run and get my coat and then you walk through the door
Who invited you babe? 'Cause I can't see you anymore

Oh no, I'm melting through the furniture
Did someone turn the temperature up?
'Cause I'm slipping through the cracks in the floorboards
To the apartment below us, yeah
Oh no, I'm melting through the furniture
Did someone turn the temperature up?
'Cause I'm slipping through the cracks in the floorboards
To the apartment below us

I wish that we were more like the movie
I cry on my birthday but you would make it up to me
All my friends feel like they're strangers
I don't wanna be famous

But I wanna sing until I drown
'Cause when the music is loud, when I'm in front of a crowd
And I'm talking to the God and I can tell that you're proud
I guess that nothing's forever, I know that now
But I still sink to the ground

Oh no, I'm melting through the furniture
Did someone turn the temperature up?
'Cause I'm slipping through the cracks in the floorboards
To the apartment below us
Oh no, I'm melting through the furniture
Did someone turn the temperature up?
'Cause I'm slipping through the cracks in the floorboards
To the apartment below us, yeah

(Apartment below us) Oh no
(Apartment below us) I'm melting through the furniture
(Apartment below us) Did someone turn the temperature up?
(Apartment below us) 'Cause I'm slipping through the cracks in the floorboards to the apartment below us","{""I'm"": 13, 'probably': 1, 'gonna': 1, 'get': 2, 'hurt': 1, 'this': 2, 'weekend': 1, ""'Cause"": 8, 'you': 8, 'and': 6, 'I': 20, 'ended': 1, 'like': 4, 'new': 1, 'beginnings': 1, 'too': 1, 'much': 2, 'mentioned': 1, 'that': 5, 'hope': 1, 'we': 2, 'stay': 1, 'friends': 3, 'But': 4, 'regret': 1, 'what': 2, 'said': 1, '‘cause': 1, 'heard': 1, 'told': 1, 'Emma': 1, 'And': 2, 'damn,': 1, 'really': 1, 'hate': 2, 'your': 3, 'guts': 1, 'all': 2, 'miss': 1, 'so': 1, 'blocked': 1, 'texts,': 1, 'wow': 1, 'party': 1, 'sucks': 1, 'So': 1, ""I'll"": 1, 'run': 1, 'my': 3, 'coat': 1, 'then': 1, 'walk': 1, 'through': 11, 'the': 30, 'door': 1, 'Who': 1, 'invited': 1, 'babe?': 1, ""can't"": 1, 'see': 1, 'anymore': 1, 'Oh': 5, 'no,': 4, 'melting': 5, 'furniture': 5, 'Did': 5, 'someone': 5, 'turn': 5, 'temperature': 5, 'up?': 5, 'slipping': 5, 'cracks': 5, 'in': 6, 'floorboards': 5, 'To': 4, 'apartment': 5, 'below': 9, 'us,': 2, 'yeah': 2, 'us': 3, 'wish': 1, 'were': 1, 'more': 1, 'movie': 1, 'cry': 1, 'on': 1, 'birthday': 1, 'but': 1, 'would': 1, 'make': 1, 'it': 1, 'up': 1, 'to': 4, 'me': 1, 'All': 1, 'feel': 1, ""they're"": 1, 'strangers': 1, ""don't"": 1, 'wanna': 2, 'be': 1, 'famous': 1, 'You': 1, 'might': 1, 'also': 1, 'sing': 1, 'until': 1, 'drown': 1, 'when': 2, 'music': 1, 'is': 1, 'loud,': 1, 'front': 1, 'of': 1, 'a': 1, 'crowd': 1, 'talking': 1, 'God': 1, 'can': 1, 'tell': 1, ""you're"": 1, 'proud': 1, 'guess': 1, ""nothing's"": 1, 'forever,': 1, 'know': 1, 'now': 1, 'still': 1, 'sink': 1, 'ground': 1, '(Apartment': 4, 'us)': 4, 'no': 1}"
Block Your Number,"It's always best at the beginning

I remember when we first fell in love
Symphonies at the bus stop on a Tuesday
I was wearing blue Nike high tops
You were annotating Greek tragedies
I spent the next eight months
Documentin' my heart in voice memos
Tryna write down my feelings in real time
Part of me knew it would slip through my fingers so quickly
Like it always does

I guess I was too much for you
Or was I just not enough for you?
I can never decide, so I analyze
Replay all the scenes in my movie screen
How I pulled away and you made me pay
That weekend in May, that night in July
Blame it on summer, blame it on distance
Blame it on me, on all my resistance
To gettin' so close, I might really need you
You're the one person who might really see through
All of my bullshit and all of my anger
That time when you called and I didn't answer
So I just relive miscommunications
And then I go back to our last conversation

Now you're leaning against a brick wall
With your backpack on, baby
You look so much older than
Than when I met you
I can't believe it's over
I watch our lives untangle
I guess that this is the part when
I block your number

Sorting through the nuances of conversation
Your inflection tells me if you mean it
Modern love is so damn romantic
The irony of poor connection as we talk over FaceTime
What a metaphor
You say I remind you of fiction
A remarkable girl but also a nightmare
You found it poetic and sometimes magnetic
Until you got sick of my psychoanalysis
Like they always do

I'll blame it on summer, I'll blame it on distance
I'll blame it on you, on all your persistence
That it's only chances, and it's only timin'
And if it were perfect, I wouldn't be cryin'
On the floor of my dorm room, you wait in the lobby
And you keep insistin' and I keep on sobbin'
So I just relive the deliberations
And then I go back to our last conversation
Now you're leaning against a brick wall
With your backpack on, baby
You look so much older than
Than when I met you
I can't believe it's over
I watch our lives untangle
I guess that this is the part when
I block your number

I'll blame it on summer, I'll blame it on distance (I block your number)
I'll blame it on you, on all your persistence (I block your number)
That it's only chances, and it's only timin' (I block your number)
And if it were perfect, I wouldn't be cryin' (I block your number)
On the floor of my dorm room, you wait in the lobby (I block your number)
And you keep insistin' and I keep on sobbin' (I block your number)
So I just relive the deliberations (I block your number)
And then I go back to our last conversation","{""It's"": 1, 'always': 3, 'best': 1, 'at': 2, 'the': 14, 'beginning': 1, 'I': 32, 'remember': 1, 'when': 6, 'we': 2, 'first': 1, 'fell': 1, 'in': 8, 'love': 2, 'Symphonies': 1, 'bus': 1, 'stop': 1, 'on': 15, 'a': 5, 'Tuesday': 1, 'was': 3, 'wearing': 1, 'blue': 1, 'Nike': 1, 'high': 1, 'tops': 1, 'You': 6, 'were': 3, 'annotating': 1, 'Greek': 1, 'tragedies': 1, 'spent': 1, 'next': 1, 'eight': 1, 'months': 1, ""Documentin'"": 1, 'my': 10, 'heart': 1, 'voice': 1, 'memos': 1, 'Tryna': 1, 'write': 1, 'down': 1, 'feelings': 1, 'real': 1, 'time': 2, 'Part': 1, 'of': 9, 'me': 3, 'knew': 1, 'it': 15, 'would': 1, 'slip': 1, 'through': 3, 'fingers': 1, 'so': 6, 'quickly': 1, 'Like': 2, 'does': 1, 'guess': 3, 'too': 1, 'much': 3, 'for': 2, 'you': 13, 'Or': 1, 'just': 4, 'not': 1, 'enough': 1, 'you?': 1, 'can': 1, 'never': 1, 'decide,': 1, 'analyze': 1, 'Replay': 1, 'all': 5, 'scenes': 1, 'movie': 1, 'screen': 1, 'How': 1, 'pulled': 1, 'away': 1, 'and': 8, 'made': 1, 'pay': 1, 'That': 4, 'weekend': 1, 'May,': 1, 'that': 3, 'night': 1, 'July': 1, 'Blame': 2, 'summer,': 3, 'blame': 7, 'distance': 3, 'me,': 1, 'resistance': 1, 'To': 1, ""gettin'"": 1, 'close,': 1, 'might': 3, 'really': 2, 'need': 1, ""You're"": 1, 'one': 1, 'person': 1, 'who': 1, 'see': 1, 'All': 1, 'bullshit': 1, 'anger': 1, 'called': 1, ""didn't"": 1, 'answer': 1, 'So': 3, 'relive': 3, 'miscommunications': 1, 'And': 7, 'then': 3, 'go': 3, 'back': 3, 'to': 3, 'our': 5, 'last': 3, 'conversation': 4, 'also': 2, 'like': 1, 'Now': 2, ""you're"": 2, 'leaning': 2, 'against': 2, 'brick': 2, 'wall': 2, 'With': 2, 'your': 13, 'backpack': 2, 'on,': 2, 'baby': 2, 'look': 2, 'older': 2, 'than': 2, 'Than': 2, 'met': 2, ""can't"": 2, 'believe': 2, ""it's"": 6, 'over': 3, 'watch': 2, 'lives': 2, 'untangle': 2, 'this': 2, 'is': 3, 'part': 2, 'block': 9, 'number': 2, 'Sorting': 1, 'nuances': 1, 'Your': 1, 'inflection': 1, 'tells': 1, 'if': 3, 'mean': 1, 'Modern': 1, 'damn': 1, 'romantic': 1, 'The': 1, 'irony': 1, 'poor': 1, 'connection': 1, 'as': 1, 'talk': 1, 'FaceTime': 1, 'What': 1, 'metaphor': 1, 'say': 1, 'remind': 1, 'fiction': 1, 'A': 1, 'remarkable': 1, 'girl': 1, 'but': 1, 'nightmare': 1, 'found': 1, 'poetic': 1, 'sometimes': 1, 'magnetic': 1, 'Until': 1, 'got': 1, 'sick': 1, 'psychoanalysis': 1, 'they': 1, 'do': 1, ""I'll"": 6, 'you,': 2, 'persistence': 2, 'only': 4, 'chances,': 2, ""timin'"": 2, 'perfect,': 2, ""wouldn't"": 2, 'be': 2, ""cryin'"": 2, 'On': 2, 'floor': 2, 'dorm': 2, 'room,': 2, 'wait': 2, 'lobby': 2, 'keep': 4, ""insistin'"": 2, ""sobbin'"": 2, 'deliberations': 2, '(I': 7, 'number)': 7}"
Superfruit,"I'm in a tank top, I tie my hair up
Damn, it's almost like someone made me fall in love
You're playing hip hop, I'm eating Pop Rocks
Made me laugh but now it's funny 'cause I can't stop

(I) Watch you drink your orange juice
You're as good as superfruit
(I) Watch you drink your orange juice
You're as good as superfruit

Dropped my phone, I cracked it on the sidewalk
My boyfriend knows that I'm so sick of small talk
Hear the tone, leave a message that I won't see
If you're alone, it doesn't mean you're lonely
(I) 'Cause I'm never alone and baby, I'm still lonely

(Superfruit) Watch you drink your orange juice
You're as good as (S-superfruit)
Watch you drink your orange juice
You're as good as superfruit

I've dated bad guys, not really sure why
Now I know that they were all just such a waste of time
And this is real life, by the pool side
Have I told you that I'm really fuckin' scared to die?

(I) Watch you drink your orange juice
You're as good as superfruit
(I) Watch you drink your orange juice
You're as good as superfruit

Dropped my phone, I cracked it on the sidewalk
My boyfriend knows that I'm so sick of small talk
Hear the tone, leave a message that I won't see
If you're alone, it doesn't mean you're lonely
(I) 'Cause I'm never alone and baby, I'm still lonely

(Superfruit) Watch you drink your orange juice
You're as good as (S-superfruit)
Watch you drink your orange juice
You're as good as superfruit","{""I'm"": 9, 'in': 2, 'a': 4, 'tank': 1, 'top,': 1, 'I': 8, 'tie': 1, 'my': 3, 'hair': 1, 'up': 1, 'Damn,': 1, ""it's"": 2, 'almost': 1, 'like': 2, 'someone': 1, 'made': 1, 'me': 2, 'fall': 1, 'love': 1, ""You're"": 9, 'playing': 1, 'hip': 1, 'hop,': 1, 'eating': 1, 'Pop': 1, 'Rocks': 1, 'Made': 1, 'laugh': 1, 'but': 1, 'now': 1, 'funny': 1, ""'cause"": 1, ""can't"": 1, 'stop': 1, '(I)': 6, 'Watch': 8, 'you': 9, 'drink': 8, 'your': 8, 'orange': 8, 'juice': 8, 'as': 16, 'good': 8, 'superfruit': 6, 'Dropped': 2, 'phone,': 2, 'cracked': 2, 'it': 4, 'on': 2, 'the': 5, 'sidewalk': 2, 'My': 2, 'boyfriend': 2, 'knows': 2, 'that': 6, 'so': 2, 'sick': 2, 'of': 3, 'small': 2, 'talk': 2, 'Hear': 2, 'tone,': 2, 'leave': 2, 'message': 2, ""won't"": 2, 'see': 2, 'If': 2, ""you're"": 4, 'alone,': 2, ""doesn't"": 2, 'mean': 2, 'lonely': 4, ""'Cause"": 2, 'never': 2, 'alone': 2, 'and': 2, 'baby,': 2, 'still': 2, '(Superfruit)': 2, '(S-superfruit)': 2, ""I've"": 1, 'dated': 1, 'bad': 1, 'guys,': 1, 'not': 1, 'really': 2, 'sure': 1, 'why': 1, 'Now': 1, 'know': 1, 'they': 1, 'were': 1, 'all': 1, 'just': 1, 'such': 1, 'waste': 1, 'time': 1, 'And': 1, 'this': 1, 'is': 1, 'real': 1, 'life,': 1, 'by': 1, 'pool': 1, 'side': 1, 'Have': 1, 'told': 1, ""fuckin'"": 1, 'scared': 1, 'to': 1, 'die?': 1, 'You': 1, 'might': 1, 'also': 1}"
Ride My Bike,"My mind's on fire, so I'll ride my bike
I'm riding harder than a hurricane
Love is complicated, that's alright
Swear I saw the old you for a second there

My mother made me promise home for dinner before dark
But a God I can't explain says ""Take a right at Central Park""
To clear my mind

And get that runner's high
And baby, for the very first time I'm not afraid to die
And get that runner's high, high
And babe, I think I found what it means to be alive

My mind's on fire, I feel the blood rush to my brain
Summer's only ending if you let it, babe (Don't let it)

My mother made me promise home for dinner before dark
But a God I can't explain says ""Take a right at Central Park""
To clear my mind

And get that runner's high
And baby, for the very first time I'm not afraid to die
And get that runner's high, high
And babe, I think I found what it means to be alive

So, I backpack through the universe
And I came back with no possessions
Of heartbreak and life's fake
And all the gods gave me one message
That you live fast and you die quicker
And nothing's ever gonna make you sicker
Than late nights and drunk fights
And I'm done dating bad guys
I'm starsick from last night
And this feeling's why I stay alive
I love you, let's not fight
I love you and this runner's high, runner's high

And get that runner's high
And baby, for the very first time I'm not afraid to die
And get that runner's high, high
And babe, I think I found what it means to be alive","{'My': 4, ""mind's"": 2, 'on': 2, 'fire,': 2, 'so': 1, ""I'll"": 1, 'ride': 1, 'my': 4, 'bike': 1, ""I'm"": 6, 'riding': 1, 'harder': 1, 'than': 1, 'a': 6, 'hurricane': 1, 'Love': 1, 'is': 1, 'complicated,': 1, ""that's"": 1, 'alright': 1, 'Swear': 1, 'I': 15, 'saw': 1, 'the': 7, 'old': 1, 'you': 6, 'for': 6, 'second': 1, 'there': 1, 'mother': 2, 'made': 2, 'me': 3, 'promise': 2, 'home': 2, 'dinner': 2, 'before': 2, 'dark': 2, 'But': 2, 'God': 2, ""can't"": 2, 'explain': 2, 'says': 2, '""Take': 2, 'right': 2, 'at': 2, 'Central': 2, 'Park""': 2, 'To': 2, 'clear': 2, 'mind': 2, 'And': 17, 'get': 6, 'that': 6, ""runner's"": 8, 'high': 7, 'baby,': 3, 'very': 3, 'first': 3, 'time': 3, 'not': 4, 'afraid': 3, 'to': 7, 'die': 4, 'high,': 4, 'babe,': 3, 'think': 3, 'found': 3, 'what': 3, 'it': 3, 'means': 3, 'be': 3, 'alive': 4, 'feel': 1, 'blood': 1, 'rush': 1, 'brain': 1, ""Summer's"": 1, 'only': 1, 'ending': 1, 'if': 1, 'let': 2, 'it,': 1, 'babe': 1, ""(Don't"": 1, 'it)': 1, 'You': 1, 'might': 1, 'also': 1, 'like': 1, 'So,': 1, 'backpack': 1, 'through': 1, 'universe': 1, 'came': 1, 'back': 1, 'with': 1, 'no': 1, 'possessions': 1, 'Of': 1, 'heartbreak': 1, 'and': 4, ""life's"": 1, 'fake': 1, 'all': 1, 'gods': 1, 'gave': 1, 'one': 1, 'message': 1, 'That': 1, 'live': 1, 'fast': 1, 'quicker': 1, ""nothing's"": 1, 'ever': 1, 'gonna': 1, 'make': 1, 'sicker': 1, 'Than': 1, 'late': 1, 'nights': 1, 'drunk': 1, 'fights': 1, 'done': 1, 'dating': 1, 'bad': 1, 'guys': 1, 'starsick': 1, 'from': 1, 'last': 1, 'night': 1, 'this': 2, ""feeling's"": 1, 'why': 1, 'stay': 1, 'love': 2, 'you,': 1, ""let's"": 1, 'fight': 1}"
Lovesick,"See you sittin' on a park bench
Tellin' me you miss me
Feel a buzz in my chest
Isn't it amazing?
That people connect for a minute or two?

Maybe we couldn't save it this time
As badly as I want to
As badly as I want you
Isn't it amazing?
That people connect for a minute or two?
One more minute with you

Then you said to me, ""Are we enemies?""
No baby, we could never be
You are now my memory
And you remember me
Think about that first day
When I saw you in the hallway

And I said
(Chemicals) ""I love you so much""
(Metaphysical) ""I love you so much, babe""
(Temperature) And I said
(Intermolecular) ""I love you so much""
""I love you so much, babe""

Lovesick, love you 'till my heart stops
Love you 'till I'm carsick
Love you 'till you're starsick
Isn't it amazing?
Despite all the space in the world
I'm close to you

Then you said to me, ""Are we enemies?""
No baby, we could never be
You are now my memory
And you remember me
Think about that first day
When I saw you in the hallway

And I said
(Chemicals) ""I love you so much"" (Lovesick)
(Metaphysical) ""I love you so much, babe""
(Temperature) And I said (Lovesick)
(Intermolecular) ""I love you so much""
""I love you so much, babe""

Lovesick, for you (Chemicals)
I am, I am (Metaphysical)
Lovesick, for you (Temperature)
I am, I am (Intermolecular)
So as I draw these blueprints
For how I'll save the planet
Know I'm thinking of the day
I saw you in the hallway
'Cause what more is there in this life
Than who we become
The places we go
And the love I have for","{'See': 1, 'you': 25, ""sittin'"": 1, 'on': 1, 'a': 4, 'park': 1, 'bench': 1, ""Tellin'"": 1, 'me': 4, 'miss': 1, 'Feel': 1, 'buzz': 1, 'in': 6, 'my': 4, 'chest': 1, ""Isn't"": 3, 'it': 4, 'amazing?': 3, 'That': 2, 'people': 2, 'connect': 2, 'for': 5, 'minute': 3, 'or': 2, 'two?': 2, 'Maybe': 1, 'we': 7, ""couldn't"": 1, 'save': 2, 'this': 2, 'time': 1, 'As': 2, 'badly': 2, 'as': 3, 'I': 15, 'want': 2, 'to': 4, 'One': 1, 'more': 2, 'with': 1, 'Then': 2, 'said': 6, 'me,': 2, '""Are': 2, 'enemies?""': 2, 'No': 2, 'baby,': 2, 'could': 2, 'never': 2, 'be': 2, 'You': 3, 'are': 2, 'now': 2, 'memory': 2, 'And': 7, 'remember': 2, 'Think': 2, 'about': 2, 'that': 2, 'first': 2, 'day': 3, 'When': 2, 'saw': 3, 'the': 8, 'hallway': 3, '(Chemicals)': 3, '""I': 8, 'love': 10, 'so': 8, 'much""': 4, '(Metaphysical)': 3, 'much,': 4, 'babe""': 4, '(Temperature)': 3, '(Intermolecular)': 3, 'might': 1, 'also': 1, 'like': 1, 'Lovesick,': 3, ""'till"": 3, 'heart': 1, 'stops': 1, 'Love': 2, ""I'm"": 3, 'carsick': 1, ""you're"": 1, 'starsick': 1, 'Despite': 1, 'all': 1, 'space': 1, 'world': 1, 'close': 1, '(Lovesick)': 2, 'am,': 2, 'am': 2, 'So': 1, 'draw': 1, 'these': 1, 'blueprints': 1, 'For': 1, 'how': 1, ""I'll"": 1, 'planet': 1, 'Know': 1, 'thinking': 1, 'of': 1, ""'Cause"": 1, 'what': 1, 'is': 1, 'there': 1, 'life': 1, 'Than': 1, 'who': 1, 'become': 1, 'The': 1, 'places': 1, 'go': 1, 'have': 1}"
