,Artist,Album,Release Date,Lyrics
Change,Big Theif,Dragon New Warm Mountain I Believe in You,"{'year': 2021, 'month': 10, 'day': 6}","Okay

Change like the wind
Like the water, like skin
Change like the sky
Like the leaves, like a butterfly

Would you live forever, never die
While everything around passes?
Would you smile forever, never cry
While everything you know passes?

Death's like a door
To a place we've never been before
Death, like space
The deep sea, a suitcase

Would you stare forever at the sun
And never watch the moon rising?
Would you walk forever in the light
To never learn the secret of the quiet night?

Still like a stone
Like a hill, like home
Still, what I find
Is you are always on my mind

Could I feel happy for you
When I hear you talk with her like we used to?
Could I set everything free
When I watch you holding her the way you once held me?

Change like the sky
Like the leaves, like a butterfly
Death, like a door
To a place we've never been before

Would you live forever, never die
While everything around passes?
Would you smile forever, never cry?"
Pretty Things,Big Theif,Capacity,"{'year': 2017, 'month': 6, 'day': 9}","Matthew, please do not regret
With your silk in my hand
And your heart in my sweat as you're
Lighting the end of my last cigarette
I will warm you, warm you

These things that lonely ones do
Baby, that's what I'm here for
I'll take care and make all your wishes come true
If you want to, do you want to?

Don't take me for a fool
There's a woman inside of me
There's one inside of you, too

There is a meeting in my thighs
Where in thunder and lightning
Men are baptized in their anger and fighting
Their deceit and lies
I've got lips like sugar, lips like sugar

Holding my wrist to the bed
He was thrusting and moaning
And pressing his head to my temple
His head was a temple
I said you've got lips like sugar, daddy
Lips like sugar

Don't take me for a fool
There's a woman inside of me
There's one inside of you, too
And she don't always do pretty things"
Certainty,Big Theif,Dragon New Warm Mountain I Believe in You,"{'year': 2021, 'month': 9, 'day': 7}","Name on the line, last request
Pull the car over to find some rest
Saying, I love you""
Need to lie here, need to leave
Living in the debt of makebelieve
Saying I owe you
Crooked as a crow gnawing on dawn
Shadow from the grass in the dirt on the lawn
Why do I string you along?

My certainty is wild, weaving
For you, I am a child, believing
You lay beside me sleeping on a plane
In the future

Sit on the phone, watch TV
Romance, action, mystery
Wanted to show you
Sine wave is a particle ride
Bring your light out, then in on the tide
Maybe I love you
Maybe I love you is a river so high
Maybe I love you is a river so low
I love you, still don't know

My certainty is wild, weaving
For you, I am a child, believing
You lay beside me sleeping on a plane
In the future

My certainty is wild, weaving
For you, I am a child, believing
You lay beside me sleeping on a plane
In the future"
UFOF,Big Theif,U.F.O.F.,"{'year': 2019, 'month': 2, 'day': 26}","To my UFO friend
Goodbye, goodbye
Like a seed in the wind
She's taking up root in the sky
See her flickering
Her system won't even try
To defend and ripen
In the radio action

She'll never return again
Polarize, polarize
The seasons will bend
There will soon be proof
That there is no alien
Just a system of truth and lies
The reason, the language
And the law of attraction

Just like a bad dream
You'll disappear
Another map turns blue
Mirror on mirror
And I imagine you
Taking me outta here
To deepen our love
It isn't even a fraction

Switch to another lens
The last sunlight
I don't need any other friends
The best kiss I ever had is the flickering
Of the water so clear and bright
To leap in, my skin
And I could feel the reaction

Just like a bad dream
You'll disappear
Another map turns blue
Mirror on mirror
And I imagine you
Taking me outta here
To deepen our love
It isn't even a fraction


Just like a bad dream
You'll disappear
Another map turns blue
Mirror on mirror
And I imagine you
Taking me outta here
To deepen our love
It isn't even a fraction"
Little Things,Big Theif,Dragon New Warm Mountain I Believe in You,"{'year': 2021, 'month': 8, 'day': 10}","The little things I like about you
How you say when you say what you do
When your feeling is a little gold and blue
When your feeling is a little strung out
Everything we talk about
Living in the city is a crowded place
I still lose sight of every other face

Turn in your direction
Feeling like I need attention
I told you this once or twice
Won't you hear?
I see you in the yard drinking a beer
Leaving me undressed
Like some cheap classic movie
Maybe I'm a little obsessed
Maybe you do use me

One step behind you
Following you down
I was inside of you
Kissing your mouth
You were inside of me
Kissing my mouth
Seeing out that needle eye
Seeing out that needle eye
Seeing out that needle eye


The little things I like about you
How you say when you say what you do
When your feeling is a little gold and blue
When your feeling is a little strung out
Everything we talk about
New York City is a crowded place
I still lose sight of every other face

One step behind you
Following you down
I was inside of you
Where are you now?
Where are you now? Ah)

Ah, oh
The things I love
The things, the things I like
Will you stay?
Will you feel?
You'll feel
Ohoh, ooh"
Spud Infinity,Big Theif,Dragon New Warm Mountain I Believe in You,"{'year': 2021, 'month': 12, 'day': 14}","What's it gonna take?
What's it gonna take?
What's it gonna take
To free the celestial body?

From way up there, it looks so small
From way down here, it looks so small
One peculiar organism aren't we all together?
Everybody steps on ants
Everybody eats the plants
Everybody knows to dance, even with just one finger

What's it gonna take?
What's it gonna take?
What's it gonna take
To free the celestial body?

When I took another look
The past was not a history book
That was just some linear perception
Ash to ask and dust to dusk
A dime a dozen, aren't we just?
But a dozen dimes will buy a crust of garlic bread

What's it gonna take?
What's it gonna take?
What's it gonna take
To free the celestial body?

When I say celestial
I mean extraterrestrial
I mean accepting the alien you've rejected in your own heart
When I say heart, I mean finish
The last one there is a potato knish
Baking too long in the sun of Spud Infinity
When I say infinity, I mean now
Kiss the one you are right now
Kiss your body up and down, other than your elbows
'Cause as for your elbows, they're on their own
Wandering like a rolling stone
Rubbing up against the edges of experience

What's it gonna take?
What's it gonna take?
What's it gonna take?
What's it gonna take
To free the celestial body?
Woo"
Cattails,Big Theif,U.F.O.F.,"{'year': 2019, 'month': 4, 'day': 3}","Caroline, Caroline
I never could leave you to struggle
Hold the line, hold the line
Ill be there on the double
In time, in time
Everyone does see trouble

And you dont need to know why when you cry
You dont need to know why
You dont need to know why when you cry

Violets eyes, Violet plays
Going back home to the Great Lakes
Where the cattail sways
With the lonesome loon
Riding that train in late June

With the windows wide by my side
With the windows wide
With the windows wide by my side

And the clusters fell like an empty bell
Meteor shower at the motel
Where the empty space is a saving grace
Making good time and doing well
Still the question sings like Saturns rings
Maybe she knows and she wont tell

But you dont need to know why when you cry
You dont need to know why
You dont need to know why when you cry

And I find you there in your country flair
Middle of the river in a lawn chair
With your wrinkled hands and your silver hair
Leaving here soon and you know where
To where the cattail sways with the lonesome loon
Youll be riding that train in late June

With the windows wide by your side
With the windows wide
With the windows wide by your side
You dont need to know why
You dont need to know why when you cry"
Dragon New Warm Mountain I Believe in You,Big Theif,Dragon New Warm Mountain I Believe in You,"{'year': 2022, 'month': 2, 'day': 11}","It's a little bit magic
Like a river of morning geese
In the new warm mountain
Where the stone face forms and speaks

I believe in you
Even when you need to
Recoil

When the topsoil
Is kicking up into the storm
And the dust goes dancing
And a billion planets are born

I believe in you
Even when you need to
Recoil

Just like that
The moon goes flat
Big lights in the city shine
Crying out
Take me to the limits of your love


There's a dragon in thе phone line
Coughing up a mighty flame
With a tonguе of silver, silver
Calling out my oldest name

She says, Hey, you
Do you remember me too?""
We were coiling

It's a little bit magic
Magic
A little bit magic
Magic"
Parallels,Big Theif,Masterpiece,"{'year': 2016, 'month': 5, 'day': 27}","Don't I make you feel alive?
Don't I give you a good home?
In a way I know you're always by my side
But today I think I've always been a long way

One hand to keep me warm
One hand to hold my chin
To be inside your arms
It's all I'm asking

Caterpillar on the floor
Can you teach me to transform?
And I'll step right in and cocoon 'til I'm born
And I can't say that I'll miss my human form much

One hand to keep me warm
One hand to hold my chin
To be inside your arms
It's all I'm asking

I see all parallels, I see all parallels
I see all parallels, I see all parallels
I see all parallels, I see all parallels
I see all parallels, I see all parallels
I see all parallels, I see all parallels
I see all parallels, I see all parallels
I see all parallels, I see all parallels
I see all parallels, I see all parallels
I see all parallels, I see all parallels
I see all parallels, I see all parallels
I see all parallels, I see all parallels
I see all parallels, I see all parallels
I see all parallels, I see all parallels
I see all parallels, I see all parallels
I see all
"
Lorraine,Big Theif,Masterpiece,"{'year': 2016, 'month': 5, 'day': 27}","When I saw the first time, the thunder came crashing
Your new blue eyeliner caught my distraction
And like we were two lovers forming from friction
Your mouth caught my ear with such perfect diction
And there I let you tie my hands back and take me
Oh, Lorraine on a Saturday morning
Oh, Lorraine with your soft, burning hands

We fell asleep in the back of the warehouse
I woke to you kneading and covering my mouth
And like we were hummingbirds screaming at ravens
You started to move me from fact into fable
And there I let you take me under the table
Oh, Lorraine on a Saturday morning
Oh, Lorraine with your soft, burning hands"
