,Artist,Album,Release Date,Lyrics
Lollipop (Ode to Jim),Alvvays,Antisocialites,"{'year': 2017, 'month': 9, 'day': 8}","Saw Jim Reid in the corridor
And I wondered if he could ever see me that way
He was on my list at the grocery store
When you grabbed my wrist and said you liked my keychain
Read your feature in the weekly paper
And honestly, I found it a little bit bloated
Friday, we fell through the coffee table
And thats when I discovered that my heart exploded

How?
How?

You're a lollipop
In the form of a lightning bolt
You're a lollipop in my hair
But I'm a gumdrop
Am I ever gonna fit that mould?
'Cause I don't have the patience to wait in line for you

When I came back to apologize
You asked me if I was intrigued by LSD
I sat next to you on the picnic bench
And before I knew it, you were flying next to me
I met your baby at the exposition
And frankly, I found it a little unnerving
I let you know when we were driving home
And all I can remember is the fact that we're swerving
You're a lollipop
In the form of a lightning bolt
You're a lollipop in my hair
How could I ever obtain you?)
But you're a doorstop
When you're lying on the bathroom floor
And I don't have the time to wait in line for you
How could I ever betray you?)

Alter my state to get through this date
You're alone in this picture
And it swallows me whole)
Alter my state to get through this date
You're alone in this picture
And it swallows me whole)
Alter my state to get through this date
You're alone in this picture)
Alter my state to get through this date
And it swallows me whole
You're alone in this picture)
Alter my state to get through this date

You're a lollipop
How could I ever obtain you?)
In the form of a lightning bolt
You're a lollipop in my hair
How could I ever betray you?)
You look like Iggy Pop
Circa ' or '
How could I ever obtain you?)
Because I don't have the time wait in line for you
How could I ever betray you?)
Wait for you"
Saved by a Waif,Alvvays,Antisocialites,"{'year': 2017, 'month': 9, 'day': 8}","New Saturday
In the park, didnt think you fell that hard
Woke up again
Woke up and you wanted a new start
New Saturday
In the park, didnt think you fell that hard
Oh, Adrian
The silver maple never saw you coming

Stay where you are
State what you are
Stay where you are
And no one gets hurt

You cut your hair
Now you look like a little boy
You climbed the stairs
So high, you cant come down from there
Said you wanted to get it together but you dont
Said you wanted to get it together but you wont

Say something, waste something
Change your life
Take something, break something
Make your flight
Say something, anything
Mommy wants you to be a doctor
So she can tell her friends youre like your father
And if its all for the sake of conversation
Then maybe you should try a new vocation
Oh, saved by a waif and the weight of your wayfarers
Not to be confused with hippies in Toronto

You cut your hair
Now you look like a little boy
You climbed the stairs
So high, you cant come down from there
Said you wanted to get it together but you dont
Said you wanted to get it together but you wont
Oh, saved by a waif and the weight of your wayfarers"
Belinda Says,Alvvays,Blue Rev,"{'year': 2022, 'month': 9, 'day': 22}","Can't explain my ankle sprain
I didn't really feel it
New dress could turn your head
But how long 'til we reel it in?

Paradise and I find myself paralyzed
Knowing all too well

Blue Rev behind the rink
I didn't really need it
Circumspect when you call collect
To see if I would keep it

Paradise and I find myself paralyzed
Knowing all too well terrified
But I'll find my way

Moving to the country
Gonna have that baby
Wait tables in town
I know word gets around
Moving to the country
Gonna have this baby
See how it goes
See how it grows
And I find myself paralyzed
Knowing all too well terrified
But I'll find my way

I'll egress to Inverness with nothing in my pocket
Bеlinda says that heaven is a place on еarth
Well, so is hell
And we'll all get help paradise
And we'll start another life"
Forget About Life,Alvvays,Antisocialites,"{'year': 2017, 'month': 9, 'day': 8}","I thought of going in the lake and swallowing
Thought that I had unplugged the phone until it rang
When the phases of the moon, they dont apply
When accomplishing a simple task takes several tries

Did you want to forget about life?
Did you want to forget about life with me tonight?
Underneath this flickering light
Did you want to forget about life with me tonight?

Left the apartment in a state of disarray
Tried out the synthesizer you bought yesterday
When the failures of the past, they multiply
And you trivialize the things that keep your hand from mine

Did you want to forget about life?
Did you want to forget about life with me tonight?
Under condominium signs
Did you want to forget about life with me tonight? Woo!

Do you want to forget about life?
Do you want to forget about life with me tonight?
Underneath this flickering light
Do you want to forget about life with me tonight?

Inhaling this undrinkable wine
Forget everything tonight)
Forget about life with me tonight?
Forget everything tonight)
Under the condominium signs
Did you want towhoaohoh
Forget everything tonight)"
Your Type,Alvvays,Antisocialites,"{'year': 2017, 'month': 9, 'day': 8}","Hop that fence if you wanna, then dissolve into the night
Ditch your friends on a whim, later, resurface in a fight
Kill the buzz with your decrees and conspiracy theories

I die on the inside every time
You will never be alright
I will never be your type

Gambling with your working visa, youve got something to prove
Take a photo of the Mona Lisa, get thrown out of the Louvre
And with vomit on your feet, clamoring bon appétit

I die on the inside every time
You will never be alright
I will never be your type
I will never be your type

Knew that I would never be your type
Knew that I would never be your type

Hop that fence if you'd like to, then dissolve into the night
All depends how it strikes you, without reason, without rhyme
Let me state delicately, youre an O and Im AB
I die on the inside every time
You will never be alright
I will never be your type
I will never be your type
I will never be your type"
The Agency Group,Alvvays,Alvvays,"{'year': 2014, 'month': 7, 'day': 22}","Parked outside of the agency
Wondering if you can sneak away with me
I'll admit, I've been losing sleep
Rifling through your toxicology

When you whisper you don't think of me that way
When I mention you don't mean that much to me
To me

An outcast of modern society
Suffering from a case of sobriety
Shortcomings, well, you can take your pick
When you are catering to one of your nervous tics

When you whisper you don't think of me that way
When I mention you don't mean that much to me
To me, to me

You know that it won't take much longer before it's wrong
You know that it won't take much longer now that I'll be gone
It's gone, the sun is gone
When you whisper you don't think of me that way
When I mention you don't mean that much to me
When you whisper you don't think of me that way
When I mention you don't mean that much to me
To me, to me, to me, to me, to me, to me"
Easy On Your Own?,Alvvays,Blue Rev,"{'year': 2022, 'month': 8, 'day': 10}","I dropped out
College education's a dull knife
If you don't believe in the lettered life
Then maybe this is our only try
And how I gauge
Whether this is stasis or change
Fill out the requirements on the page
And burn out before you can get paid

'Cause we're always
Crawling in monochromatic hallways
Dream we pull a oneeighty some day

If you don't like it, well
Say it's over, well
Weekends alone

Evеr lay back and watch the sunrise?
Ever hеar violins in your mind?
You know it's only wind outside

'Cause we're always
Crawling in monochromatic hallways
Dream about burning down all day
If you don't like it, well You don't like it)
Say it's over, well Say it's over)
Weekends alone
Does it get easier on your own?
Does it get easier on your own?

I waited so long for you
Wasted some of the best years of my life
And I wanted to see it through
This time
This time

You don't like it
Say it's over
Weekends alone
Does it get easier on your own? You don't like it)
Does it get easier on your own? Say it's over)
Does it get easier on your own?"
Pharmacist,Alvvays,Blue Rev,"{'year': 2022, 'month': 7, 'day': 6}","I know you're back
I saw your sister at the pharmacy
Picking up
Said you had that new love glow
Now that you're here
I want to wake up on the right side
Looking back
Getting out of neutral new track

You know it happens all the time, it's alright
I hear it happens all the time

We volunteered
Local centre off the highway
Nicorette
Those paths have grown in now
Velvet fall
An assistant to the way life's shaking out
Those girls are older now

You know it happens all the time, it's alright
I hear it happens all the time, it's alright
I know I never crossed your mind"
Red Planet,Alvvays,Alvvays,"{'year': 2014, 'month': 7, 'day': 22}","It's been almost twenty years on the red planet
A place where there are no tears, it is just water floating
No, they're not quite emoting
I dream of the other days, of the times I held you
Left in an autumn blaze, now I idle in bubbles
Just collecting the rubble
​
Well I waited for you out here, but that was just delusional
And I've painted all these pictures of Earth, but that's unusual
Unusual to you
​
Met at a seminar, shared the same table
Brushed by you at the bar, didn't match your description
It soon became my prescription
I think of the junipers in the spring growing
Fall up on Jupiter, it doesn't draw a reaction
Temporary distraction
​
And I've waited for you out here, but that may be delusional
And I've painted all these pictures of Earth, but that's unusual
Unusual to you
​Unusual, unusual, unusual to you​
And I waited for forever, and that was just delusional
So I've painted all these pictures of Earth, but that's unusual
Unusual, unusual, unusual to you"
Already Gone,Alvvays,Antisocialites,"{'year': 2017, 'month': 9, 'day': 8}","If there were an ocean
We'd be wading in the distance
There would be only water
Creating a resistance
A place to decompress
A vat of chlorine's close enough, I guess
If there were an ocean
We'd glisten on the surface
Surface

Instead of an eruption
We bubble, only briefly
When there is erosion
We both regret it, deeply
I arrived at the scene, you were perfectly surrounded by pylons
When the crowd separated, the officer said you were already gone
Appetite minuscule
Middle of the night
Drain the pool
The summer's over

I don't think I could find it
I don't know how to find it again
Don't think that I could get behind it
I don't think I will ever find it again"
