,Artist,Album,Release Date,Lyrics
Watching Him Fade Away,Mac Demarco,This Old Dog,"{'year': 2017, 'month': 5, 'day': 5}","Haven't got the guts to call him up
Walk around as if you never cared in the first place
But if you never call, you'll end up stuck
Without another chance to tell him off right to his face

And even though we barely know each other
It still hurts watching him fade away, watching him fade away
Watching him fade away, watching him fade away

I know you never meant to put him down
And even if you did, he sure deserved it
The thought of him no longer being around
Well, sure, it would be sad but not really different

And even though we barely know each other
It still hurts watching him fade away, watching him fade away
Watching him fade away, watching him fade away"
Let My Baby Stay,Mac Demarco,Salad Days,"{'year': 2014, 'month': 4, 'day': 1}","I was made to love her
Been working at it
Half of my life
Ive been an addict

And shes been good to me
Far as I can tell shes happy
Livin’ with her Macky

So please dont take my love away
Let my baby stay
Let my baby stay
Please dont take my love away
Let my baby stay
Let my baby stay

And where would I be
Feeling lonely
Separated from my one and only

And whats there left to say
Far as I can tell that day
Could be on its way

So please dont take my love away
Let my baby stay
Let my baby stay
Please dont take my love away
Let my baby stay
Let my baby stay
"
No Other Heart,Mac Demarco,Another One,"{'year': 2015, 'month': 7, 'day': 20}","Is it true?
Youve been feeling sort of low these days
Just dont have a place to go these days
Must be bringing you down

If its so
Then come on give this lover boy a try
Ill put the sparkle right back in your eyes
What could you lose?
Well, for one, her heart belongs to another
And no other heart will do

Is it wrong
To think my love could really help you out?
Its simply just my stubborn heart, no doubt, rambling away

If its not
Then come on give this lover boy a try
Ill put the sparkle right back in your eyes
What could you lose?

Well, for one, her heart belongs to another
And no other heart will do
For one, her heart belongs to another
And no other heart will do

Oh
Ah"
Treat Her Better,Mac Demarco,Salad Days,"{'year': 2014, 'month': 4, 'day': 1}","Hey, man
Heard you were your brother's keeper
That can't be
Judgin' by the way you treat her

Oh no, you've done it again
No use when you already know how it ends

Treat her better, boy
If havin' her at your side's something you enjoy
If havin' her in your life's really so important to you now

Hey, man
Who's been keepin' brother?
Hey, man, how old is your mother?

Oh no, you've done it again
No use when you already know how it ends

Treat her better, boy
If havin' her at your side's something you enjoy
If havin' her in your life's really so important to you now
Treat her better, boy
If havin' her at your side's something you enjoy
If havin' her in your life's really so important to you now

Treat her better, boy
If havin' her at your side's something you enjoy
If havin' her in your life's really so important to you now
Treat her better, boy
If havin' her at your side's something you enjoy
If havin' her in your life's really so important to you now"
My Old Man,Mac Demarco,This Old Dog,"{'year': 2017, 'month': 1, 'day': 31}","Look in the mirror
Who do you see?
Someone familiar
But surely not me
For he can't be me
Look how old and cold and tired
And lonely he's become
Not until you see
There's a price tag hanging off of having all that fun

Uhoh, looks like I'm seeing more of my old man in me
Oh no, looks like I'm seeing more of my old man in me

Walk on the outside, holding her hand
Someone familiar, her and her man
But it just can't be
Look at all the steps that brought you where you are today
Not until you see
As a heart grows stronger, sometimes love is pushed away

Uhoh, looks like I'm seeing more of my old man in me
Oh no, looks like I'm seeing more of my old man in me
Uhoh, looks like I'm seeing more of my old man in me
Oh no, looks like I'm seeing more of my old man in me"
Blue Boy,Mac Demarco,Salad Days,"{'year': 2014, 'month': 4, 'day': 1}","Blue Boy, worried 'bout the world's eyes
Worried, every time the sun shines
Worried 'bout his haircut
Calm down, sweetheart, grow up

Blue Boy
Blue Boy
Blue Boy
Blue Boy

Blue Boy, older than the world knows
Honey, that's the way that life goes
No use acting so tough
Calm down, sweetheart, grow up

Blue Boy
Blue Boy
Blue Boy
Blue Boy

Hey, Tony"
Let Her Go,Mac Demarco,Salad Days,"{'year': 2014, 'month': 4, 'day': 1}","Tell her that you love her
If you really love her
But if your heart just ain't sure
Let her know

Growing by the hour
Love just like a flower
But when the flower dies
You've got to say goodbye
And let her go

Let her go
Let her go

Tell her that you'll be there
If you'll really be there
Separation's supposed to
Make the heart grow fond
But it don't

So tell her that you love her
If you really love her
But if your heart just ain't sure
Let her go

Let her go
Let her go
Let her go
Let her go
Yeah!

Or you can keep her
It's okay
It's up to you
Make your own choice
But you got it
God bless"
Passing Out Pieces,Mac Demarco,Salad Days,"{'year': 2014, 'month': 1, 'day': 21}","Watching my life, passing right in front of my eyes
Hell of a story, or is it boring?
Can't claim to care, never been reluctant to share
Passing out pieces of me, don't you know nothing comes free?

What Mom don't know has taken its toll on me
It's all I've seen that can't be wiped clean
It's hard to believe what it's made of me

Passing my life, living it out with her side
Listening closely, hearing her mostly
Cant shake concern, seems that every time that I turn
I'm passing out pieces of me, don't you know nothing comes free?

What Mom don't know has taken its toll on me
It's all I've seen that can't be wiped clean
It's hard to believe what it's made of me"
Cooking Up Something Good,Mac Demarco,2,"{'year': 2012, 'month': 10, 'day': 16}","Mommy's in the kitchen, cooking up something good
And daddy's on the sofa, pride of the neighborhood
My brother's in the ballet, it seems he's got it set
And I'll be up at midnight with my cigarette

Ooh when life moves this slowly
Ooh just try and let it go
Ooh when life moves this slowly
Ooh just try and let it go

Daddy's in the basement, cooking up something fine
While Rick's out on the pavement, flipping it for dimes
If there's anything redeeming, I haven't seen it yet
And I'm still up at midnight, chewing nicorette

Ooh when life moves this slowly
Ooh just try and let it go
Ooh when life moves this slowly
Ooh just try and let it go"
On the Level,Mac Demarco,This Old Dog,"{'year': 2017, 'month': 4, 'day': 11}","Boy, this could be your year
Make an old man proud of you, forget about the tears
On the level, see me eyetoeye
Stand up like a man even from the other side

On the level
On the level

Man, I never had a choice
Never had a chance, never had a voice
On the level, carrying a name
Fall until my final day, now, who's there left to blame?

On the level
On the level
On the level
On the level
On the level
On the level
On the level"
