,Artist,Album,Release Date,Lyrics
Campus,Vampire Weekend,Vampire Weekend,"{'year': 2008, 'month': 1, 'day': 29}","I wake up, my shoulders cold
I've got to leave here, before I go
I pull my shirt on, walk out the door
Drag my feet along the floor
I pull my shirt on, walk out the door
Drag my feet along the floor

Then I see you, you're walking 'cross the campus
Cruel professor, studying romances

How am I supposed to pretend
I never want to see you again?
How am I supposed to pretend
I never want to see you again?

Walk to class in front of ya
Spilled kefir on your keffiyah
You look inside and turn to the door
Drag your feet along the floor

Then I see you, you're walking 'cross the campus
Cruel professor, studying romances

How am I supposed to pretend
I never want to see you again?
How am I supposed to pretend
I never want to see you again?

In the afternoon, you're out on the stone and grass
And I'm sleeping on the balcony after class
In the afternoon, you're out on the stone and grass
And I'm sleeping on the balcony after class


In the afternoon, you're out on the stone and grass
And I'm sleeping on the balcony after class
In the afternoon, you're out on the stone and grass
And I'm sleeping on the balcony after class"
Worship You,Vampire Weekend,Modern Vampires of the City (Japan CD),"{'year': 2013, 'month': 5, 'day': 14}","Only in the way You want it
Only on the day You want it
Only with the understanding:
Every single day You want it
Only in the way You want it
Only on the day You want it
Only with the understanding:
Every single day you want it
You, You

City with the weight upon it
City in the way you want it
City with the safety
Of a neverending blessing on it
City with the weight upon it
City in the way you want it
City with the safety
Of a neverending blessing on it
You, You

We worshipped You, Your red right hand
Won't we see you once again?
In foreign soil, in foreign land
Who will guide us through the end?

Calling on a change, You want it
Calling on the same, You want it
Calling on the misery to always be explained
You want it
Calling on a change, You want it
Calling on the same, You want it
Calling on the misery to always be explained
You want it
You, You

Energetic praise You wanted
Any kind of praise You wanted
Little bit of light
To get us through the final days You wanted
Energetic praise You wanted
Any kind of praise You wanted
Little bit of light
To get us through the final days You wanted
You, too

We worshipped You, Your red right hand
Won't we see You once again?
In foreign soil, in foreign land
Who will guide us through the end?
We worshipped You, Your red right hand
Won't we see You once again?
In foreign soil, in foreign land
Who will guide us through the end?"
Obvious Bicycle,Vampire Weekend,Modern Vampires of the City (Japan CD),"{'year': 2013, 'month': 5, 'day': 13}","Mornings come, you watch the red sun rise
The LED still flickers in your eyes
Oh, you ought to spare your face the razor
Because no ones gonna spare their time for you
No ones gonna watch you as you go
From a house you didnt build and cant control
Oh, you ought to spare your face the razor
Because no ones gonna spare their time for you
You ought to spare the world your labor
Its been twenty years and no ones told the truth

So listen, oh
So listen, oh
Dont wait
Dont wait
So listen, oh
So listen, oh
Dont wait
Dont wait

So keep that list of who to thank in mind
And dont forget the rich ones who were kind
Oh, you ought to spare your face the razor
Because no ones gonna spare their time for you
Why dont you spare their world a traitor?
Take your wager back and leave before you lose

So listen, oh
So listen, oh
Dont wait
Dont wait

So while the suns coming out
Cover ground, cover ground
And if you find some love for these clowns
Turn around, turn around
Ill be halfasleep on the floor of a high school gym
Thinking of you and wondering if anyone else could begin

To listen
Listen
Dont wait
Dont wait

So listen, oh
So listen, oh
Dont wait
Dont wait"
This Life,Vampire Weekend,Father of the Bride,"{'year': 2019, 'month': 4, 'day': 4}","Baby, I know pain is as natural as the rain
I just thought it didn't rain in California
Baby, I know love isn't what I thought it was
'Cause I've never known a love like this before ya
Baby, I know dreams tend to crumble at extremes
I just thought our dream would last a little bit longer
There's a time when every man draws a line down in the sand
We're surviving, we're still living, are we stronger?

You've been cheating on, cheating on me
I've been cheating on, cheating on you
You've been cheating on me
But I've been cheating through this life
And all its suffering
Oh Christ
Am I good for nothing?

Baby, I know hate is always waiting at the gate
I just thought we locked the gate when we left in the morning
And I was told that war is how we landed on these shores
I just thought the drums of war beat louder warnings

You've been cheating on, cheating on me
I've been cheating on, cheating on you
You've been cheating on me
But I've been cheating through this life You've been cheating on, cheating on me
I've been cheating on, cheating on you)
And all its suffering You've been cheating on me
I've been cheating through)
Oh Christ You've been cheating on, cheating on me
I've been cheating on, cheating on you)
Am I good for nothing? You've been cheating on me
I've been cheating through)

Baby, I know death probably hasn't happened yet
'Cause I don't remember living life before this
And darling, our disease is the same one as the trees
Unaware that they've been living in a forest

You've been cheating on, cheating on me
I've been cheating on, cheating on you
You've been cheating on me
But I've been cheating through this life You've been cheating on, cheating on me
I've been cheating on, cheating on you)
And all its suffering You've been cheating on me
I've been cheating through)
Oh Christ You've been cheating on, cheating on me
I've been cheating on, cheating on you)
Am I good for nothing? You've been cheating on me
I've been cheating through)
This life You've been cheating on, cheating on me
I've been cheating on, cheating on you)
And all its suffering You've been cheating on me
I've been cheating through)
Oh Christ You've been cheating on, cheating on me
I've been cheating on, cheating on you)
Am I good for nothing?"
Diplomat’s Son,Vampire Weekend,Contra,"{'year': 2010, 'month': 1, 'day': 11}","It's not right, but it's now or never
And if I wait, could I ever forgive myself?
On a night when the moon glows yellow in the riptide
With the light from the TVs buzzing in the house

'Cause I'm gonna cut it where I can
And then I'm gonna duck out behind them
If I ever had a chance, it's now then
But I never had the feeling I could offer that to you
To offer it to you would be cruel
When all I want to do is use, use you

He was a diplomat's son, it was '
He was a diplomat's son, it was '
Ohoh, ohoh

Dressed in white with my car keys hidden in the kitchen
I could sleep wherever I lay my head
And the sight of your two shoes sitting in the bathtub
Let me know that I shouldn't give up just yet

'Cause I'm gonna take it from Simon
And then I'm gonna duck out behind them
If I ever had a chance, it's now then
But I never had the feeling I could offer that to you
To offer it to you would be cruel
When all I want to do is use, use you

He was a diplomat's son, it was '
He was a diplomat's son, it was '
Ohoh, ohoh

I know, you'll say I'm not doing it right
But this is how I want it
I can't go back to how I felt before
There's–

That night I smoked a joint with my best friend
We found ourselves in bed, when I woke up, he was gone

He was a diplomat's son, it was '
He was a diplomat's son, it was '


Looking out at the ice cold water all around me
I can't feel any traces of that other place
In the dark, when the wind comes racing off the river
There's a car, all black with diplomatic plates"
I Think Ur a Contra,Vampire Weekend,Contra,"{'year': 2010, 'month': 1, 'day': 11}","I had a feeling once
That you and I
Could tell each other everything
For two months
But even with our oath
With truth on our side
When you turn away from me
It's not right

I think you're a contra
I think you're a contra
I think you're a contra
I think you're a contra

My revolution thoughts
Your little arrows of desire
I want to trace them to the source
And the wire
But it's not useful now
Since we've both made up our minds
You're going to watch out for yourself
And so will I

I think you're a contra
And I think that you've lied
Don't call me a contra
'Til you've tried

You wanted good schools and friends with pools
You're not a contra
You wanted rock and roll, complete control
Well, I don't know

Never pick sides
Never choose between two
Well, I just wanted you
I just wanted you
You said, Never pick sides
Never choose between two""
Well, I just wanted you
I just wanted you

I think you're a contra
And I think that you've lied
Don't call me a contra
'Til you've tried"
Horchata,Vampire Weekend,Contra,"{'year': 2009, 'month': 10, 'day': 5}","In December, drinking horchata
I'd look psychotic in a balaclava
Winter's cold is too much to handle
Pincher crabs that pinch at your sandals

In December, drinking horchata
Look down your glasses at that Aranciata
With lips and teeth to ask how my day went
Boots and fists to pound on the pavement

Here comes a feeling you thought you'd forgotten
Chairs to sit and sidewalks to walk on

You'd remember drinking horchata
You'd still enjoy it with your foot on Masada
Winter's cold is too much to handle
Pincher crabs that pinch at your sandals

Here comes a feeling you thought you'd forgotten
Chairs to sit and sidewalks to walk on
Oh, you had it but oh, no, you lost it
Looking back, you shouldn't have fought it

In December, drinking horchata
I'd look psychotic in a balaclava
Winter's cold is too much to handle
Pincher crabs that pinch at your sandals
Years go by and hearts start to harden
Those palms and firs that grew in your garden
Are falling down and nearing the rosebeds
The roots are shooting up through the tool shed
Those lips and teeth that asked how my day went
Are shouting up through cracks in the pavement

Here comes a feeling you thought you'd forgotten
Chairs to sit and sidewalks to walk on
Oh, you had it but oh, no, you lost it
You understood so you shouldn't have fought it
Here comes a feeling you thought you'd forgotten
Chairs to sit and sidewalks to walk on
Here comes a feeling you thought you'd forgotten
Chairs to sit and sidewalks to walk on"
Don’t Lie,Vampire Weekend,Modern Vampires of the City (Japan CD),"{'year': 2013, 'month': 5, 'day': 14}","One look sent knees to the ground
Young bloods can't be settling down
Young hearts need the pressure to pound
So hold me close, my baby

Don't lie, I want him to know
God's loves die young; is he ready to go?
It's the last time running through snow
Where the vaults are full and the fire is bold

I want to know, does it bother you?
The low click of a ticking clock
There's a lifetime right in front of you
And everyone I know

Young turks, young Saturday nights
Young hips shouldn't break on the ice
Old flames, they can't warm you tonight
So keep it cool, my baby

Don't lie, I want him to know
Dial up, three rings and return him his gold
It's the last time running through snow
Where the vaults are full and the fire is bold

I want to know, does it bother you?
The low click of a ticking clock
There's a headstone right in front of you
And everyone I know

Don't lie, I want 'em to know
God's loves die young, are you ready to go?
It's the last time running through snow
Cause the fire can't last and the winter's cold

I want to know, does it bother you?
The low click of a ticking clock
There's a lifetime right in front of you
And everyone I know"
Hold You Now,Vampire Weekend,Father of the Bride,"{'year': 2019, 'month': 5, 'day': 3}","I know the reason why you think you gotta leave
Promises of future glory don't make a case for me
I did my best and all the rest is hidden by the clouds
I can't carry you forever, but I can hold you now

Leaving on your wedding day, all calm and dressed in white
All I'll keep's the memory of one last crooked night
The pews are getting filled up, the organ's playing loud
I can't carry you forever, but I can hold you now
Alright

God, yu tekem laef blong mi
Mi mi givim nao long yu
Mbae mi givim evride
Blong leftemap nem blong yu

I know the reason why you think I oughta stay
Funny how you're telling me on my wedding day
Crying in those rumpled sheets like someone's 'bout to die
You just watch your mouth when talking 'bout the father of the bride

Why's your heart grown heavy, boy, when things were feeling light?
Turning this June morning into some dark judgment night
This ain't the end of nothing much, it's just another round
I can't carry you forever, but I can hold you now

God, yu tekem laef blong mi
Mi mi givim nao long yu
Mbae mi givim evride
Blong leftemap nem blong yu

Alright"
Walcott,Vampire Weekend,Vampire Weekend,"{'year': 2008, 'month': 1, 'day': 29}","Walcott, don't you know that it's insane?
Don't you want to get out of Cape Cod
Out of Cape Cod tonight?
Walcott, Mystic Seaport is that way
Don't you know that your life could be lost
Out of Cape Cod tonight?

Walcott, don't you know that it's insane?
Don't you want to get out of Cape Cod
Out of Cape Cod tonight?
Walcott, the bottleneck is a shit show
Hyannisport is a ghetto
Out of Cape Cod tonight

The lobster's claw is sharp as knives
Evil feasts on human lives
The Holy Roman Empire roots for you

Walcott, all the way to New Jersey
All the way to the Garden State
Out of Cape Cod tonight
Walcott, fuck the women from Wellfleet
Fuck the bears out in Provincetown
Heed my words and take flight

Walcott, don't you know that it's insane?
Don't you want to get out of Cape Cod
Out of Cape Cod tonight?
Walcott, don't you know that it's insane?
Don't you want to get out of Cape Cod
Out of Cape Cod tonight?
Walcott, don't you know that it's insane?
Don't you want to get out of Cape Cod
Out of Cape Cod tonight?
Walcott, don't you know that it's insane?
Don't you want to get out of Cape Cod
Out of Cape Cod tonight?"
