,Artist,Album,Release Date,Lyrics
Your Silent Face,New Order,"Power, Corruption & Lies (US Cassette Version)","{'year': 1983, 'month': 5, 'day': 2}","A thought that never changes remains a stupid lie
It's never been quite the same
No hearing or breathing
No movement, no colors, just silence

Rise and fall of shame
A search that shall remain
We asked you what you'd seen
You said you didn't care


Sound formed in a vacuum may seem a waste of time
It's always been just the same
No hearing or breathing
No movement, no lyrics, just nothing

The sign that leads the way
The path we can not take
You've caught me at a bad time
So, why don't you piss offSee New Order LiveGet tickets as low as $"
The Perfect Kiss,New Order,Substance,"{'year': 1985, 'month': 5, 'day': 13}","I stood there beside myself
Thinking hard about the weather
Then came by a friend of mine
Suggested we go out together
Then I knew it from the start
This friend of mine would fall apart
Pretending not to see his gun
I said, Let's go out and have some fun""

I know, you know, you believe in a land of love
I know, you know, we believe in a land of love

I have always thought about
Staying here and going out
Tonight I should have stayed at home
Playing with my pleasure zone
He has always been so strange
I'd often thought he was deranged
Pretending not to see his gun
I said, Let's go out and have some fun""

I know, you know, we believe in a land of love
I know, you know, we believe in a land of love
See New Order Live
When you are alone at night
You search yourself for all the things
That you believe are right
If you give it all away
You throw away your only chance to be here today
Then a fight breaks out on your street
You lose another broken heart in a land of meat
My friend, he took his final breath
Now I know the perfect kiss is the kiss of death
"
Dreams Never End,New Order,Movement ,"{'year': 1981, 'month': 11, 'day': 13}","My promise could be your fiend
A given end to your dreams
A simple movement or rhyme
Could be the smallest of signs
We'll never know what they are or care
In its escapable view
There's no escape, so few in fear
Give in a changing value

To be given your sight
Hid in a long peaceful night
A nervous bride for your eyes
A fractured smile that soon dies
A love that's wrong from your life and soul
A savage mine had begun
A long farewell to your love and soul
A long farewell to your soul

Now I know what those hands would do
No looking back now, we're pushing through
We'll change these feelings, we'll taste, we'll see
But never guess how the 'Him' would scream
But never guess how the 'Him' would scream
But never guess how the 'Him' would screamSee New Order LiveGet tickets as low as $"
Restless,New Order,Music Complete,"{'year': 2015, 'month': 7, 'day': 28}","What can you buy
That lifts a heavy heart up to the sky?
What makes your day?
What miracle of life has come to stay?
A taste of love
So sweet, so real you can't let go
And how does it feel?
It feels so good...

But how much do you need?
How much, how much do you need?
How much do you need?
How much, how much do you need?

I want a nice car
A girlfriend who's as pretty as a star
I want respect
As much, as much as I can get

But how much do you need?
How much, how much do you need?
How much do you need?
How much, how much do you need?
See New Order Live
Restless
I feel so restless
And in this changing world
I am lost for words
I feel so restless
Ain't got no interest
I couldn't care less
Can't be a success

Due to current studies
The fiscal climate isn't looking good
Get out of town
The streets are running rivers full of blood
The more I see
The less, the less that I believe
The more I hear
The less, the less that I perceive

Restless
I feel so restless
And in this changing world
I am lost for words
I feel so restless
Ain't got no interest
I couldn't care less
Can't be a success
What can you buy
That lifts a heavy heart up to the sky?
What makes your day?
What miracle of life
Has come to stay?
A taste of love
So sweet, so real you can't let go
And how does it feel?
It feels so good...

Restless
I am so restless
And this changing world
Leaves me speechless
I am lost for words
But I kept my nerve
But it's not hopeless
If you take less"
Sub-Culture,New Order,Low-Life,"{'year': 1985, 'month': 10, 'day': 28}","I like walking in the park
When it gets late at night
I move round in the dark
And leave when it gets light
I sit around by day
Tied up in chains so tight
These crazy words of mine
So wrong they could be right

What do I get out of this?
I always try, I always miss
One of these days you'll go back to your home
You won't even notice that you are alone
One of these days when you sit by yourself
You'll realise you can't shaft without someone else
In the end you will submit
It's got to hurt you a little bit

I like talking in my sleep
When people work so hard
They need what they can't keep
A choice that leaves them scarred
A view without a room
Unveils the truth so soon
And when the sun goes down
You've lost what you have found
See New Order Live
What do I get out of this?
I always try, I always miss
One of these days you'll go back to your home
You won't even notice that you are alone
One of these days when you sit by yourself
You'll realise you can't shaft without someone else
In the end you will submit
It's got to hurt you a little bit


What do I get out of this?
I always try, I always miss
One of these days you'll go back to your home
You won't even notice that you are alone
One of these days when you sit by yourself
You'll realise you can't shaft without someone else
In the end you will submit
It's got to hurt you a little bit
What do I get out of this?
I always try, I always miss
One of these days you'll go back to your home
You won't even notice that you are alone
One of these days when you sit by yourself
You'll realise you can't shaft without someone else
In the end you will submit
It's got to hurt you a little bit
What do I get out of this?
I always try, I always miss
One of these days you'll go back to your home
You won't even notice that you are alone"
Tutti Frutti,New Order,Music Complete,"{'year': 2015, 'month': 9, 'day': 25}","Tutti frutti
Amore mio
Tutti frutti
No
Non è ancora il momento di entrare
Non è ancora il momento di…

Life is so crazy these days
I don't know how to adjust
Are we the master or slave?
Do we need passion or lust?
Are we just caught in a daze?
So many words in a phrase
Life is so crazy these days
Life is so crazy these days


You've got me where it hurts
But I don't really care
'Cause I know I'm OK
Whenever you are there
You take me to a place
I always wanna go
You always make me high
Whenever I feel low
I'm paper in your hand
I'm under your command
And I'll never let you go
'Cause you're that girl
See New Order LiveTutti Frutti


I had a beautiful dream
For a picture so serene
But I don't know what it means - love
I just want your love
Generations lost in space
Trying to find the human race
We're living in a state of grace
Where every scholar means a dollar

And sometimes I just can't go on
I feel like I'm a setting sun
I know my eyes are burning bright
I just need you to make it right

You've got me where it hurts
But I don't really care
'Cause I know I'm OK
Whenever you are there
You take me to a place
I always wanna go
You always make me high
Whenever I feel low
I'm paper in your hand
I'm under your command
And I'll never let you go
'Cause you're that girl
Tutti Frutti

You've got me where it hurts
But I don't really care
'Cause I know I'm OK
Whenever you are there
You take me to a place
I always wanna go
You always make me high
Whenever I feel low

You've got me where it hurts
But I don't really care
'Cause I know I'm OK
Whenever you are there
You take me to a place
I always wanna go
You always make me high
Whenever I feel low
Whenever I feel low
Whenever I feel low
Whenever I feel low
'Cause you're that girl
Tutti Frutti

Non mi interessa il nome vero
Non mi interessa la vita reale
Quella canzone
E tu? Sei tutti frutti"
The Village,New Order,"Power, Corruption & Lies (US Cassette Version)","{'year': 1983, 'month': 5, 'day': 2}","When a new life turns towards you
And the night becomes the day
We shall remain forever
Everyone who meets this way

Oh, our love is like the flowers
The rain, the sea and the hours
Oh, our love is like the flowers
The rain, the sea and the hours, ooh oh

When the rain falls to the sea
They'll be waiting for you and for me
And the sky reflects our image
Trying to sleep right through our lives

Oh, our love is like the earth
The sun, the trees and the birth
Oh, our love is like the earth
The sun, the trees and the birth, ooh

I am still here two days later
Same place, same time
And I'm stuck here two years too long
Same place, the wrong time
See New Order Live
Oh, our love is like the flowers
The rain, the sea and the hours
Oh, our love is like the flowers
The sun, the sea and the hours

Their love died three years ago
Spoken words I cannot show"
Singularity,New Order,Music Complete,"{'year': 2016, 'month': 3, 'day': 18}","Winter came so soon
Like summer never happened
We're players on a stage
With roles already scripted
We're working for a wage
I'm living for today
On a giant piece of dirt
Spinning in the universe

I can hear your cry out there
And I can feel you close to me

One day at a time
Inch by inch
For every kiss
On lovers' lips
For all lost souls
Who can't come home
For friends not here
We shed our tears

And all I wanna do
Is make the right impression
The instrument of truth
A soldier with no weapons
I care so much for you
I'd crawl a thousand miles
Through deserts full of sand
My love in every land
See New Order Live
I can hear your cry out there
And I can feel you everywhere

One day at a time
Inch by inch
For every kiss
On lovers' lips
For all lost souls
Who can't come home
For friends not here
We shed our tears
One day at a time
Inch by inch
For every kiss
On lovers' lips
For all lost souls
Who can't come home
For friends not here
We shed our tears

I can feel your presence here
Tender softly through the air
One day at a time
Inch by inch
For every kiss
On lovers lips
For all lost souls
Who can't come home"
1963,New Order,Substance,"{'year': 1987, 'month': 7, 'day': 20}","It was January 
When Johnny came home with a gift for me
He said, I bought it for you because I love you
And I bought it for you 'cause it's your birthday, too""
He was so very nice, he was so very kind
To think of me at this point in time
I used to think of him, he used to think of me

He told me to close my eyes
My gift would be a great surprise
I saw tears were in his eyes
He never meant to hurt me

Oh, God, Johnny, don't point that gun at me
There's so many ways our lives have changed
But please, I beg, don't do this to me
Johnny, don't point that gun at me
Can I save my life at any price?
For God's sake won't you listen to me?

And though he was ashamed that he had took a life
Johnny came home with another wife
And he often remembered how it used to be
Before that special occasion, 
There's too many ways that you could kill someone
Like in a love affair, when the love has gone
He used to think of her, she used to think of him
See New Order Live
He told me to close my eyes
My gift would be a great surprise
I saw tears were in his eyes
He never meant to hurt me

Oh, God, Johnny, don't point that gun at me
There's so many ways our lives have changed
But please, I beg, don't do this to me
Johnny, you keep on using me
Can I change my life for any price?
Oh, Johnny, won't you listen to me?


He told me to close my eyes
My gift would be a great surprise
I saw hatred in his eyes
But he never meant to hurt me

Oh, God, Johnny, don't point that gun at me
There's so many ways our lives have changed
But please, I beg, don't do this to me
Johnny, you keep on using me
Can I change my life for any price?
Oh, Johnny, won't you listen to me?
I just want you to be mine
I don't want this world to shine
I don't want this bridge to burn
Oh, Johnny, do you miss me?
I just want to feel free
I will always feel free
I will always feel free
I will always feel free"
5 8 6,New Order,"Power, Corruption & Lies (US Cassette Version)","{'year': 1983, 'month': 5, 'day': 2}","
I see danger, danger, danger
All on the corner sent by me
Shadows the ways
Straight away you ran from me

Heard you calling
Yes, I heard you calling
Heard you calling
Yes, I heard you calling

I hear silence
I hear silence in my heart
From a distance
Turn your back and run from me

Heard you calling
Yes, I heard you calling
Heard you calling
Yes, I heard you calling
See New Order Live
When it happens
You will be no friend of mine
Take the first chance
When I am no longer free

Heard you calling
Yes, I heard you calling
Heard you calling
Yes, I heard you calling

In the future
When you want me in your heart
I won't be there
If you call out in the dark

Heard you calling
Yes, I heard you calling
Heard you calling
Oh yes, I heard you, heard you, heard you, heard you calling

Can you hear me deep inside?
From these feelings I can't hide
Can you hear me deep inside?
From these feelings I can't hide
Oh, can you hear me deep inside? Can you hear me calling you?)
From these feelings I can't hide Can you hear me calling you?)
Can you hear me calling you?
Can you hear me calling you?
Can you hear me calling you?
Can you hear me calling you?"
